list_category,list_subtype,export_rank,feature,n_models,mean_tp_missing_rate,mean_fp_missing_rate,mean_tn_missing_rate,mean_missing_tp_tn_gap,mean_missing_tp_fp_gap,overall_missing_rate,dominant_missing_signal_type,has_missing_signal,pair_key,feature_a,feature_b,mean_support_n,max_support_n,mean_pair_precision,max_pair_precision,mean_pair_recall,mean_pair_fp_rate,mean_pair_precision_lift,max_pair_precision_lift,dominant_recommendation,representative_rule_desc,is_interaction_candidate,mean_pos_mean,mean_neg_mean,mean_pos_median,mean_neg_median,mean_mean_gap,mean_median_gap,mean_p95_gap,mean_ks_stat,max_ks_stat,mean_wasserstein_distance,mean_distribution_sep_score
auxiliary_diagnostic,missingness,1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
auxiliary_diagnostic,missingness,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
auxiliary_diagnostic,missingness,3,10,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
auxiliary_diagnostic,missingness,4,100,5,0.0,0.0,0.0,0.0,0.0,0.0,weak,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
auxiliary_diagnostic,missingness,5,101,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
auxiliary_diagnostic,missingness,6,102,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
auxiliary_diagnostic,missingness,7,103,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
auxiliary_diagnostic,missingness,8,104,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
auxiliary_diagnostic,missingness,9,106,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
auxiliary_diagnostic,missingness,10,107,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
auxiliary_diagnostic,interaction,1,,2,,,,,,,,,65 || 70,65,70,14.0,14.0,0.35714285714285715,0.35714285714285715,0.060240963855421686,0.007692307692307693,5.3915662650602405,5.3915662650602405,interaction_candidate,65(high) AND 70(low),1.0,,,,,,,,,,,
auxiliary_diagnostic,interaction,2,,4,,,,,,,,,510 || 64,510,64,17.25,21.0,0.3449317226890756,0.38095238095238093,0.07228915662650602,0.009615384615384616,5.207222271438695,5.751004016064257,interaction_candidate,510(high) AND 64(high),1.0,,,,,,,,,,,
auxiliary_diagnostic,interaction,3,,2,,,,,,,,,63 || 70,63,70,15.0,15.0,0.3333333333333333,0.3333333333333333,0.060240963855421686,0.008547008547008548,5.032128514056224,5.032128514056224,interaction_candidate,63(high) AND 70(low),1.0,,,,,,,,,,,
auxiliary_diagnostic,interaction,4,,5,,,,,,,,,510 || 65,510,65,16.0,19.0,0.33302005012531327,0.42105263157894735,0.06506024096385542,0.00905982905982906,5.0273990699640665,6.356372859860493,interaction_candidate,510(high) AND 65(high),1.0,,,,,,,,,,,
auxiliary_diagnostic,interaction,5,,2,,,,,,,,,510 || 63,510,63,10.0,10.0,0.3,0.3,0.03614457831325301,0.005982905982905983,4.5289156626506015,4.5289156626506015,interaction_candidate,510(high) AND 63(high),1.0,,,,,,,,,,,
