artifact_key,feature_set,category,model,balance_method,feature,tp_n,fp_n,tn_n,fn_n,tp_mean,fp_mean,tn_mean,fn_mean,tp_median,fp_median,tn_median,fn_median,tp_vs_tn_smd,tp_vs_fp_smd,fp_vs_tn_smd,monitor_direction,suggested_threshold,tp_trigger_rate,fp_trigger_rate,tn_trigger_rate,group_source,threshold
RFERF_RF_NoResample,RFERF,supervised,RF,NoResample,0,51,218,952,32,-0.16830665525277433,-0.127031136483516,0.03834020347555398,-0.04059644849406753,-0.3167684845819726,-0.1457949124776554,-0.0070540629831626,-0.4593131957509185,-0.20921163582919078,-0.040141220505124225,-0.16831440127825545,low,-2.0168464010369953,0.0196078431372549,0.03669724770642202,0.01050420168067227,train_oof,0.10516617787900674
RFERF_RF_NoResample,RFERF,supervised,RF,NoResample,2,51,218,952,32,-0.05853684301632958,0.04379160671913239,-0.007896130296222955,0.04679818529397963,-0.1441076694935351,-0.10900683806740186,0.06856167636438375,-0.13866465867175135,-0.05036531127124024,-0.10675683069839242,0.051888018097330936,low,-2.5553411916221265,0.0,0.0,0.014705882352941176,train_oof,0.10516617787900674
RFERF_RF_NoResample,RFERF,supervised,RF,NoResample,8,51,218,952,32,0.02944590021854519,0.23075811066618224,-0.05700987902717507,0.039399378690669146,0.0810525944716143,0.175872923078642,-0.0882694208980773,-0.0008992609673167501,0.08425080387435815,-0.22967993005418513,0.2852765117461421,high,2.1159645751845764,0.0,0.0045871559633027525,0.01050420168067227,train_oof,0.10516617787900674
RFERF_RF_NoResample,RFERF,supervised,RF,NoResample,9,51,218,952,32,-0.13838565221509866,-0.13970331638654074,0.0372785977721502,0.055449488837981925,-0.0587954064227237,-0.1844028138702988,0.0271465039361434,-0.029046283606192748,-0.17621185538119472,0.0013332053954187221,-0.17547503830036332,low,-2.2664447560565777,0.0,0.01834862385321101,0.01050420168067227,train_oof,0.10516617787900674
RFERF_RF_NoResample,RFERF,supervised,RF,NoResample,14,51,218,952,32,-0.2992134718122014,-0.12487133518850334,0.05573498265867142,-0.30213722649223435,-0.4807030596202024,-0.2926942974639498,0.013873173430381849,-0.21008109932085306,-0.3765291767800356,-0.14631913989177003,-0.18170447713159638,low,-2.1004500771381673,0.0196078431372549,0.022935779816513763,0.01050420168067227,train_oof,0.10516617787900674
RFERF_RF_NoResample,RFERF,supervised,RF,NoResample,15,51,218,952,32,0.035987686285405496,0.10095494341024346,-0.021444901925253532,-0.1063458211341599,-0.0058543358332612,-0.0071215735532749996,-0.07048878408221615,-0.1419625888494819,0.06935054374518457,-0.044634744968070815,0.11907146909549712,high,0.9808155153471064,0.0,0.01834862385321101,0.01050420168067227,train_oof,0.10516617787900674
RFERF_RF_NoResample,RFERF,supervised,RF,NoResample,16,51,218,952,32,0.1820921865676788,0.10503726016784201,-0.04257355537179923,0.2537864260557457,0.1449067106772109,0.13962437194839175,-0.0432641481908479,0.252546820622921,0.2312583246311119,0.07065447087716041,0.14838228618117189,high,1.8872472703378986,0.0392156862745098,0.013761467889908258,0.01050420168067227,train_oof,0.10516617787900674
RFERF_RF_NoResample,RFERF,supervised,RF,NoResample,19,51,218,952,32,0.15485363009527353,0.018610039148602375,-0.014628928211866605,0.06447530511009744,0.1091869257221089,-0.0156436570122619,0.08238950932886821,-0.025062876012683,0.1538461597737718,0.38524013773536486,0.032290176669973074,high,0.8605654638072767,0.0196078431372549,0.0,0.011554621848739496,train_oof,0.10516617787900674
RFERF_RF_NoResample,RFERF,supervised,RF,NoResample,21,51,218,952,32,0.6137804941447043,0.22508960300649394,-0.08750617146633577,0.09507978389976542,0.2735105404949241,0.16622528867092154,0.1435455019801857,0.23446186427957025,0.838438428354621,0.2426461112049127,0.3348348951663233,high,1.3060127599790854,0.11764705882352941,0.08256880733944955,0.01050420168067227,train_oof,0.10516617787900674
RFERF_RF_NoResample,RFERF,supervised,RF,NoResample,24,51,218,952,32,-0.07515325791598057,-0.08820177236476627,0.026553584328358994,-0.0603386615586845,0.127418282834732,0.11909024369768795,0.07093980422005765,0.11270682283629885,-0.09929845167559184,0.014624552254907339,-0.11297481537522455,high,3.263597179466228,0.0,0.0,0.01050420168067227,train_oof,0.10516617787900674
