artifact_key,feature_set,category,model,balance_method,feature,group,n,non_null_n,missing_rate,mean,median,std,p01,p05,p25,p50,p75,p95,p99,group_source,threshold
Base_LR_SMOTE,Base,supervised,LR,SMOTE,0,TP,28,28,0.0,-0.2233689035679216,-0.31703542224334047,1.2035541643279708,-2.075955742081369,-1.6882207808187781,-1.0748380756510743,-0.31703542224334047,0.43429399287629344,2.2132599963945307,2.296763435622749,train_oof,0.12060301142481507
Base_LR_SMOTE,Base,supervised,LR,SMOTE,0,FP,185,185,0.0,-0.02178289241023937,0.0222423453516487,0.978876293085328,-1.957063042397677,-1.5440410764739743,-0.812338252906208,0.0222423453516487,0.6077701055559126,1.7341669552180474,2.690545869603562,train_oof,0.12060301142481507
Base_LR_SMOTE,Base,supervised,LR,SMOTE,0,TN,985,985,0.0,0.01303240715859409,-0.0354161895032002,0.9855998669743106,-2.278167694006935,-1.4853948722720716,-0.5732955771537986,-0.0354161895032002,0.5765383991761986,1.5732302391810544,2.8275489549225665,train_oof,0.12060301142481507
Base_LR_SMOTE,Base,supervised,LR,SMOTE,0,FN,55,55,0.0,-0.06597084490545178,-0.4009873167426543,1.1796297314262187,-1.83051857465096,-1.405126717499599,-0.8829432643372659,-0.4009873167426543,0.44547200744595195,2.579344978632103,3.206976816163477,train_oof,0.12060301142481507
Base_LR_SMOTE,Base,supervised,LR,SMOTE,0,pred_anomaly,213,213,0.0,-0.04828246195209429,-0.0504981673703276,1.0103415473301474,-2.0932332822132222,-1.5886997472203492,-0.8478409618677651,-0.0504981673703276,0.5677294563511536,1.9325016376122868,2.6760404770849844,train_oof,0.12060301142481507
Base_LR_SMOTE,Base,supervised,LR,SMOTE,0,pred_normal,1040,1040,0.0,0.008854350559053203,-0.05530304527489735,0.9963031442270545,-2.238871800877385,-1.488678205506862,-0.5888113287206416,-0.05530304527489735,0.5741025930162393,1.6204381645934711,2.9119012559139175,train_oof,0.12060301142481507
Base_LR_SMOTE,Base,supervised,LR,SMOTE,1,TP,28,28,0.0,0.13474582613943104,0.21322581210871033,0.9361140099706203,-1.7888092104258064,-1.472459092879548,-0.3673667018424364,0.21322581210871033,0.6232208188392715,1.1787389975336842,2.34610499405155,train_oof,0.12060301142481507
Base_LR_SMOTE,Base,supervised,LR,SMOTE,1,FP,185,185,0.0,0.0899048836256669,0.1080875737773103,1.131491790598538,-3.0434273382553325,-1.9298041263694332,-0.4621045748712682,0.1080875737773103,0.7395473289355542,1.7468573763734505,2.8839135567737797,train_oof,0.12060301142481507
Base_LR_SMOTE,Base,supervised,LR,SMOTE,1,TN,985,985,0.0,-0.020472877625257187,0.050223723184854,0.9798117558473652,-2.8724024705695883,-1.670488351492111,-0.552241074160178,0.050223723184854,0.5328006732239305,1.3981867054178372,2.556381470714343,train_oof,0.12060301142481507
Base_LR_SMOTE,Base,supervised,LR,SMOTE,1,FN,55,55,0.0,0.012925488076807209,-0.1340833564800235,0.8819143616231288,-2.127418631020231,-1.177410184123289,-0.48605693132566175,-0.1340833564800235,0.5009692521463778,1.430471960617681,1.9562211421903002,train_oof,0.12060301142481507
Base_LR_SMOTE,Base,supervised,LR,SMOTE,1,pred_anomaly,213,213,0.0,0.09579946761808658,0.1370825315905279,1.1059010019028783,-2.9357425862377298,-1.807420191390873,-0.4556752581387698,0.1370825315905279,0.7133258018696909,1.7464539682647453,2.7617414110522933,train_oof,0.12060301142481507
Base_LR_SMOTE,Base,supervised,LR,SMOTE,1,pred_normal,1040,1040,0.0,-0.018706617900628775,0.04518112182603275,0.9745206485967467,-2.8509298133333942,-1.6668954980239508,-0.5528083668130447,0.04518112182603275,0.5313194090747764,1.3993149874718738,2.5257085872989795,train_oof,0.12060301142481507
Base_LR_SMOTE,Base,supervised,LR,SMOTE,2,TP,28,28,0.0,-0.06072744791773983,-0.16419207534709795,1.1124739145562303,-1.4557955685121795,-1.26906904477997,-0.9821066555889413,-0.16419207534709795,0.7253313769383629,2.0684049399718263,2.6501441385087476,train_oof,0.12060301142481507
