artifact_key,feature_set,category,model,balance_method,feature,tp_n,fp_n,tn_n,fn_n,tp_mean,fp_mean,tn_mean,fn_mean,tp_median,fp_median,tn_median,fn_median,tp_vs_tn_smd,tp_vs_fp_smd,fp_vs_tn_smd,monitor_direction,suggested_threshold,tp_trigger_rate,fp_trigger_rate,tn_trigger_rate,group_source,threshold
ANOVA_SVM_NoResample,ANOVA,supervised,SVM,NoResample,14,52,284,886,31,-0.33316220504467725,-0.08624254036590591,0.05680658451905048,-0.24528527896292124,-0.41358548651729715,-0.08371129371303905,0.005971670346877249,-0.143415557286798,-0.3978392641324046,-0.23652179855300007,-0.14383262430684604,low,-2.1279404369965174,0.019230769230769232,0.014084507042253521,0.010158013544018058,train_oof,0.07569208662861764
ANOVA_SVM_NoResample,ANOVA,supervised,SVM,NoResample,16,52,284,886,31,0.05935045662171441,0.10483365096646159,-0.0535041296521878,0.46198849691633326,0.00876190494958015,0.1307540295547186,-0.06598817140160934,0.4660330386819151,0.12302099665537163,-0.03783018855882761,0.15927054350202105,high,1.8496270519118727,0.019230769230769232,0.028169014084507043,0.010158013544018058,train_oof,0.07569208662861764
ANOVA_SVM_NoResample,ANOVA,supervised,SVM,NoResample,21,52,284,886,31,0.5068086218636991,0.22223172333660518,-0.10987601716493435,0.25778419191161445,0.26680521225592396,0.19225773948115743,0.11928799099792034,0.2297286914049819,0.7330147751370608,0.1996149246812533,0.35685633151056895,high,1.2751682500796817,0.07692307692307693,0.06690140845070422,0.010158013544018058,train_oof,0.07569208662861764
ANOVA_SVM_NoResample,ANOVA,supervised,SVM,NoResample,22,52,284,886,31,-0.4602977409294219,-0.06747217168889619,0.052439518955905595,-0.10492459480007281,-0.19606649193041675,-0.1104610623370267,-0.1175948481364759,-0.1637546386034999,-0.6278191212133359,-0.26067155087515886,-0.1279624822428808,low,-1.4714615025342914,0.07692307692307693,0.05985915492957746,0.010158013544018058,train_oof,0.07569208662861764
ANOVA_SVM_NoResample,ANOVA,supervised,SVM,NoResample,26,52,284,886,31,-0.49672427635427824,-0.24815777697233835,0.11277965426017916,-0.13092100850982022,0.2700494466348554,0.2566059280472264,0.24548917229207146,0.2038659705111422,-0.8845315680001323,-0.14597808316214347,-0.40558897267516597,high,0.505311021918369,0.019230769230769232,0.0035211267605633804,0.011286681715575621,train_oof,0.07569208662861764
ANOVA_SVM_NoResample,ANOVA,supervised,SVM,NoResample,28,52,284,886,31,-0.6116256611882952,-0.35385429644216265,0.15236788739324963,-0.10311242957331797,-0.5193393230980925,-0.3914896078775453,0.0325059560077775,0.1716725120492833,-0.8196054077161721,-0.24716778156719418,-0.5197456268116547,low,-2.250451848987074,0.038461538461538464,0.03169014084507042,0.010158013544018058,train_oof,0.07569208662861764
ANOVA_SVM_NoResample,ANOVA,supervised,SVM,NoResample,32,52,284,886,31,0.31735625728070427,0.15601608181364338,-0.07006493323059948,0.03569548631185832,-0.1865380528258199,-0.048611771194795,-0.1327154941300868,0.0405109292387702,0.4525700960313866,0.10802780161357131,0.24056074317491583,low,-0.9652443616288308,0.0,0.0035211267605633804,0.012415349887133182,train_oof,0.07569208662861764
ANOVA_SVM_NoResample,ANOVA,supervised,SVM,NoResample,33,52,284,886,31,0.5290459751610527,0.17924584440631147,-0.08769011918657577,-0.02381218572362084,-0.11571296819320054,-0.11174789190678944,-0.1539064807982051,-0.0531867652151763,0.7493263893310269,0.21847516254788038,0.29611346895019736,high,0.6809962490481933,0.07692307692307693,0.056338028169014086,0.011286681715575621,train_oof,0.07569208662861764
ANOVA_SVM_NoResample,ANOVA,supervised,SVM,NoResample,38,52,284,886,31,0.17101349064779023,0.22134699390451762,-0.09084555185218011,0.28137819062558095,0.16791809010128594,0.0350917797421294,-0.06186582233438875,0.0328499854744536,0.29552625106178887,-0.03744060366650782,0.3348559252571074,high,3.0926077275825676,0.09615384615384616,0.08098591549295775,0.010158013544018058,train_oof,0.07569208662861764
ANOVA_SVM_NoResample,ANOVA,supervised,SVM,NoResample,56,52,284,886,31,0.29454798248549774,0.03466647033548441,-0.03151889123183167,0.11670069696059242,0.506794437311762,0.4059358086475797,0.2330353023661358,0.3915274331241274,0.34095108871425084,0.23669120140108615,0.06521042784894222,high,1.183988086914101,0.057692307692307696,0.014084507042253521,0.013544018058690745,train_oof,0.07569208662861764
