artifact_key,feature_set,category,model,balance_method,feature,tp_missing_rate,fp_missing_rate,tn_missing_rate,fn_missing_rate,missing_tp_tn_gap,missing_tp_fp_gap,overall_missing_rate,missing_signal_type,group_source,threshold
ANOVA_SVM_class_weight,ANOVA,supervised,SVM,class_weight,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.07685139318795782
ANOVA_SVM_class_weight,ANOVA,supervised,SVM,class_weight,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.07685139318795782
ANOVA_SVM_class_weight,ANOVA,supervised,SVM,class_weight,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.07685139318795782
ANOVA_SVM_class_weight,ANOVA,supervised,SVM,class_weight,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.07685139318795782
ANOVA_SVM_class_weight,ANOVA,supervised,SVM,class_weight,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.07685139318795782
ANOVA_SVM_class_weight,ANOVA,supervised,SVM,class_weight,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.07685139318795782
ANOVA_SVM_class_weight,ANOVA,supervised,SVM,class_weight,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.07685139318795782
ANOVA_SVM_class_weight,ANOVA,supervised,SVM,class_weight,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.07685139318795782
ANOVA_SVM_class_weight,ANOVA,supervised,SVM,class_weight,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.07685139318795782
ANOVA_SVM_class_weight,ANOVA,supervised,SVM,class_weight,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.07685139318795782
ANOVA_SVM_class_weight,ANOVA,supervised,SVM,class_weight,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.07685139318795782
