artifact_key,feature_set,category,model,balance_method,feature_a,feature_b,pair_key,rule_desc,support_n,support_rate,pair_precision,pair_recall,pair_fp_rate,pair_precision_lift,recommendation,pair_abs_corr,redundant_pair_flag,evidence_scope,threshold
RFERF_RF_NoResample,RFERF,supervised,RF,NoResample,103,65,103 || 65,103(high) AND 65(high),14,0.0111731843575419,0.35714285714285715,0.060240963855421686,0.007692307692307693,5.3915662650602405,interaction_candidate,0.11096984473098731,0,exploratory_train_oof_groups,0.10516617787900674
RFERF_RF_NoResample,RFERF,supervised,RF,NoResample,510,65,510 || 65,510(high) AND 65(high),15,0.011971268954509178,0.3333333333333333,0.060240963855421686,0.008547008547008548,5.032128514056224,interaction_candidate,0.08213787921481036,0,exploratory_train_oof_groups,0.10516617787900674
RFERF_RF_NoResample,RFERF,supervised,RF,NoResample,59,65,59 || 65,59(high) AND 65(high),3,0.0023942537909018356,0.3333333333333333,0.012048192771084338,0.0017094017094017094,5.032128514056224,review,0.18353629321388312,0,exploratory_train_oof_groups,0.10516617787900674
RFERF_RF_NoResample,RFERF,supervised,RF,NoResample,103,510,103 || 510,103(high) AND 510(high),34,0.02713487629688747,0.29411764705882354,0.12048192771084337,0.020512820512820513,4.4401133947554925,interaction_candidate,0.6015271404423046,0,exploratory_train_oof_groups,0.10516617787900674
RFERF_RF_NoResample,RFERF,supervised,RF,NoResample,103,59,103 || 59,103(high) AND 59(high),6,0.004788507581803671,0.16666666666666666,0.012048192771084338,0.004273504273504274,2.516064257028112,review,0.3049661746120945,0,exploratory_train_oof_groups,0.10516617787900674
RFERF_RF_NoResample,RFERF,supervised,RF,NoResample,510,59,510 || 59,510(high) AND 59(high),6,0.004788507581803671,0.16666666666666666,0.012048192771084338,0.004273504273504274,2.516064257028112,review,0.23131281611057544,0,exploratory_train_oof_groups,0.10516617787900674
