feature,n_models,mean_tp_missing_rate,mean_fp_missing_rate,mean_tn_missing_rate,mean_missing_tp_tn_gap,mean_missing_tp_fp_gap,overall_missing_rate,dominant_missing_signal_type,has_missing_signal
288,6,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
29,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
295,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
296,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
298,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
3,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
30,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
302,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
304,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
309,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
31,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
310,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
316,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
32,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
323,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
324,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
33,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
332,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
333,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
334,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
337,5,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
338,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
339,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
34,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
344,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
348,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
349,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
35,6,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
352,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
353,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
354,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
357,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
362,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
366,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
367,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
368,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
37,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
376,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
377,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
38,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
39,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
393,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
40,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
405,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
406,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
408,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
41,6,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
412,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
416,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
418,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
419,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
423,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
424,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
425,6,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
428,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
43,6,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
432,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
