artifact_key,feature_set,category,model,balance_method,feature,group,n,non_null_n,missing_rate,mean,median,std,p01,p05,p25,p50,p75,p95,p99,group_source,threshold
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,0,TP,65,65,0.0,-0.18980266600362314,-0.4009873167426543,1.0829074469798639,-1.8840022044820617,-1.5118483945133483,-0.963424969238834,-0.4009873167426543,0.3165411170066299,2.220527374225195,2.740431179759468,train_oof,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,0,FP,319,319,0.0,-0.0779510637454038,-0.0545022322908059,1.0066279858997065,-2.402902324409603,-1.6627349075999511,-0.7284530928222399,-0.0545022322908059,0.5002609624411307,1.2622211699246273,2.7624215043027176,train_oof,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,0,TN,851,851,0.0,0.0395693011634603,-0.0202007428053935,0.9743342065344671,-2.0170279186467237,-1.4119469747474764,-0.5614168512230522,-0.0202007428053935,0.6244537093912258,1.6654438542996202,2.769898428197556,train_oof,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,0,FN,18,18,0.0,0.136358195585214,0.02290968950506389,1.4982555239382211,-1.8828650500446478,-1.7866607168886812,-0.8928199578077732,0.02290968950506389,0.7005643100879384,2.8389151605434892,3.0262413337830325,train_oof,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,0,pred_anomaly,384,384,0.0,-0.09688427766932113,-0.1397220806815982,1.019339089755657,-2.2800576126493994,-1.6610532003333514,-0.7489739255396776,-0.1397220806815982,0.46439121419520235,1.3327127328496051,2.8821136822822053,train_oof,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,0,pred_normal,869,869,0.0,0.041574134419607084,-0.0202007428053935,0.9868106532713162,-2.013760601671615,-1.4166050369382952,-0.5671560109424019,-0.0202007428053935,0.6285912431423866,1.800287413938173,2.804042424462758,train_oof,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,2,TP,65,65,0.0,0.012615956156476028,-0.1290929332477285,1.0905010850612065,-1.7188906424352373,-1.280387365141503,-0.9290803779089426,-0.1290929332477285,0.7253313769383629,1.4720151564655535,3.1335619518177977,train_oof,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,2,FP,319,319,0.0,0.001803091451449968,-0.0945529583060222,0.9175225032692793,-1.811324250891865,-1.2233982647471224,-0.6681739957365753,-0.0945529583060222,0.6115856275118416,1.5546049903166628,1.905369703659162,train_oof,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,2,TN,851,851,0.0,0.001708893125445445,0.0908979547894733,1.0242742717736406,-2.5553411916221265,-1.60969154705146,-0.605483079660732,0.0908979547894733,0.5875600223264316,1.5842594322674923,2.2828923392892086,train_oof,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,2,FN,18,18,0.0,-0.12821523414424454,-0.16738321359735503,0.8429126116002169,-1.2499118765986164,-1.0676455471655597,-0.8619786296618906,-0.16738321359735503,0.28338660316848785,1.5536669071666604,1.780862841409725,train_oof,0.1755144641265648
