artifact_key,feature_set,category,model,balance_method,feature,tp_n,fp_n,tn_n,fn_n,tp_mean,fp_mean,tn_mean,fn_mean,tp_median,fp_median,tn_median,fn_median,tp_vs_tn_smd,tp_vs_fp_smd,fp_vs_tn_smd,monitor_direction,suggested_threshold,tp_trigger_rate,fp_trigger_rate,tn_trigger_rate,group_source,threshold
RFERF_LR_SMOTE,RFERF,supervised,LR,SMOTE,0,45,188,982,38,-0.22380002907655513,-0.05285046413674946,0.01908653076683279,0.004954619440613934,-0.4009873167426543,-0.01339383244058465,-0.027541528492935098,-0.3360547306156034,-0.24629695808393048,-0.17381261465715087,-0.07308659413163597,low,-2.1872794243770555,0.0,0.02127659574468085,0.010183299389002037,train_oof,0.2526011564304778
RFERF_LR_SMOTE,RFERF,supervised,LR,SMOTE,2,45,188,982,38,0.03184945245246591,0.013592872563247014,-0.0005356474736495156,-0.07687006381016914,0.0372111503461785,-0.1095710732053563,0.06518302284371949,-0.1478613535549829,0.03209528265850631,0.018623642596186377,0.014180559472740523,low,-2.5553411916221265,0.0,0.005319148936170213,0.013238289205702648,train_oof,0.2526011564304778
RFERF_LR_SMOTE,RFERF,supervised,LR,SMOTE,8,45,188,982,38,-0.007777497502779632,-0.0008920557751742183,-0.0038700918766906107,0.08190811623348158,-0.1275521284638477,-0.0320545117953412,-0.004962989336188901,0.10882140499224374,-0.0038173540632600454,-0.007491429041348777,0.002934177532368486,low,-2.351698393553977,0.0,0.0,0.010183299389002037,train_oof,0.2526011564304778
RFERF_LR_SMOTE,RFERF,supervised,LR,SMOTE,9,45,188,982,38,-0.08817725611806321,-0.05970968206483931,0.01655735471997037,-0.03461337091688861,-0.0323517416969184,-0.06871178069490065,-0.0257408255154671,-0.10507181969288296,-0.1042785778079193,-0.029336871006437146,-0.07547051155294213,low,-2.2879302336462946,0.0,0.015957446808510637,0.010183299389002037,train_oof,0.2526011564304778
RFERF_LR_SMOTE,RFERF,supervised,LR,SMOTE,14,45,188,982,38,-0.4224179726999363,-0.09988246475910387,0.04543345803938186,-0.155775514175701,-0.5755210966222594,-0.27309423031859675,0.009642162625942498,-0.04315506621578255,-0.484454725596355,-0.2869310169301841,-0.1460442983394998,low,-2.128374386822614,0.022222222222222223,0.015957446808510637,0.010183299389002037,train_oof,0.2526011564304778
RFERF_LR_SMOTE,RFERF,supervised,LR,SMOTE,15,45,188,982,38,-0.016610592805773105,0.017488679170115002,-0.0017263143109876838,-0.021584673670464394,-0.0576886182044268,-0.1076939251267492,-0.0515600862055359,-0.0224668639275645,-0.017991529277574164,-0.02208453777005705,0.018672834949287072,low,-0.9191181641950343,0.0,0.031914893617021274,0.010183299389002037,train_oof,0.2526011564304778
RFERF_LR_SMOTE,RFERF,supervised,LR,SMOTE,16,45,188,982,38,0.2073822707872645,0.0935709029226645,-0.03586887143261123,0.2125174990344362,0.1449067106772109,0.11909301764393379,-0.0275167987728637,0.23650047089953274,0.2544506698412862,0.10173198789262,0.13004759580733777,high,1.883240666245474,0.044444444444444446,0.015957446808510637,0.010183299389002037,train_oof,0.2526011564304778
RFERF_LR_SMOTE,RFERF,supervised,LR,SMOTE,19,45,188,982,38,0.1253938163338026,0.12771261575373075,-0.034500736135441,0.11363218850949873,-0.000629937536488,0.07766055349476281,0.0650500046038197,0.0767366216726649,0.14714844983799552,-0.006173040901846937,0.15783550268199623,low,-1.8851135830309378,0.0,0.0,0.010183299389002037,train_oof,0.2526011564304778
RFERF_LR_SMOTE,RFERF,supervised,LR,SMOTE,21,45,188,982,38,0.6453710291519843,0.2403993107490228,-0.08088738513375994,0.13957005195613456,0.2735105404949241,0.22913704479565833,0.12776825906489114,0.23446186427957025,0.7633181667204593,0.30476242901376693,0.34396762533386877,high,1.634439737125309,0.1111111111111111,0.047872340425531915,0.010183299389002037,train_oof,0.2526011564304778
RFERF_LR_SMOTE,RFERF,supervised,LR,SMOTE,24,45,188,982,38,-0.0442181818558286,-0.0885308873356562,0.023110827621366674,-0.0993114510547533,0.1316457138687645,0.04878806560172725,0.07923965484696675,0.01424995405368165,-0.0666286884753642,0.04612864792234679,-0.10989265244080965,high,3.212069868078609,0.0,0.005319148936170213,0.010183299389002037,train_oof,0.2526011564304778
