feature,n_models,mean_pos_mean,mean_neg_mean,mean_pos_median,mean_neg_median,mean_mean_gap,mean_median_gap,mean_p95_gap,mean_ks_stat,max_ks_stat,mean_wasserstein_distance,mean_distribution_sep_score
103,10,0.7032917842146326,-0.0512052619209145,0.6469691130288461,-0.1376096352374962,0.754497046135547,0.7845787482663422,0.761695201441905,0.3521470497374112,0.3521470497374112,0.7639390297672425,0.9830689350248261
59,10,0.5903329662877204,-0.04257078479641221,0.2438670437447905,-0.2291242514549774,0.6329037510841325,0.47299129519976796,0.3857481239763052,0.36105447430748633,0.36105447430748633,0.6588396210853033,0.9406482300100725
510,10,0.5769057574404554,-0.041714906459009715,0.1697321509225343,-0.2527708951926937,0.6186206638994651,0.42250304611522804,1.7330961701830492,0.26306250643600043,0.26306250643600043,0.6227984098999723,0.7340337380712149
348,10,0.5236829542206037,-0.04040968603611432,0.0187708106511307,-0.1841524312444063,0.564092640256718,0.20292324189553704,0.6343380541654486,0.2426423643291113,0.24264236432911132,0.5857051879477612,0.674272220718002
129,10,0.42531475532099694,-0.030547655679397344,0.460546058970014,0.3447014723017579,0.45586241100039426,0.11584458666825607,0.22396620089196184,0.2628153640201833,0.2628153640201833,0.45592167876014605,0.6393252961283873
64,10,0.4007753787817966,-0.03042790082042137,0.0793374662304257,-0.1296015883795223,0.43120327960221794,0.20893905460994802,1.423336453494946,0.2245288847698486,0.2245288847698486,0.5415266490840429,0.6148939418032636
65,8,0.2785470914977409,-0.021440770764142716,0.0972474690136667,-0.1561740419056232,0.29998786226188356,0.2534215109192899,1.1415165542955157,0.21598187622284007,0.21598187622284007,0.4330670837104632,0.5362512777615185
28,10,-0.42169903251282176,0.02949002396653421,-0.4011897571526529,-0.07268094799345065,-0.451189056479356,-0.32850880915920233,-0.5646142293603595,0.20267737617135206,0.20267737617135206,0.45199691675932485,0.5227997478999946
125,10,-0.37788631848539306,0.02749603285710194,-0.540050795708347,-0.12849043071005684,-0.405382351342495,-0.41156036499829013,-1.120744183723866,0.21092575429924829,0.21092575429924829,0.4125495035552591,0.5162013546369417
79,10,0.32556138090128606,-0.026855962926328875,0.2852801393533037,-0.1596350208452765,0.3524173438276149,0.44491516019858024,0.3492368029325761,0.2227576974564926,0.22275769745649263,0.36896744601931286,0.5140796167321937
