artifact_key,feature_set,category,model,balance_method,feature,tp_rank,tp_mean_positive_shap,tp_mean_negative_shap_abs,tp_mean_shap,tp_mean_abs_shap,tp_positive_push_rate,tp_negative_push_rate,tp_group_rows_total,tp_explained_rows,fp_rank,fp_mean_positive_shap,fp_mean_negative_shap_abs,fp_mean_shap,fp_mean_abs_shap,fp_positive_push_rate,fp_negative_push_rate,fp_group_rows_total,fp_explained_rows,fp_evidence_sufficient,tp_fp_shap_gap,tp_fp_rank_gap,shap_signal_type,tp_signal_available,group_source_x,tp_n,fp_n,tn_n,fn_n,tp_mean,fp_mean,tn_mean,fn_mean,tp_median,fp_median,tn_median,fn_median,tp_vs_tn_smd,tp_vs_fp_smd,fp_vs_tn_smd,monitor_direction,suggested_threshold,tp_trigger_rate,fp_trigger_rate,tn_trigger_rate,group_source_y,model_feature_score,hard_gate_tp_signal,hard_gate_separation,hard_gate_gap,hard_gate_pass,recommendation,group_source,threshold
RFEXGB_LR_SMOTE,RFEXGB,supervised,LR,SMOTE,64,1,0.7859577409532832,0.08261266210216832,0.703345078851115,0.8685704030554515,0.8260869565217391,0.17391304347826086,23,23,7,0.36776721898793585,0.24975888615209224,0.11800833283584367,0.6175261051400285,0.4657534246575342,0.5342465753424658,73,73,1,0.41819052196534734,6.0,true_anomaly_candidate,1,train_oof,23,73,1097,60,1.4005572719600166,0.3674674514452376,-0.05690589600309511,0.01752565306347892,1.3379417034415142,-0.0989910026119095,-0.1316301228902988,-0.3130013934987978,1.586302548498918,0.742208511603942,0.4511750713332409,high,3.0048031163947875,0.13043478260869565,0.0410958904109589,0.010027347310847767,train_oof,0.9670870439572767,1,1,1,1,monitor_first,train_oof,0.5483517567913296
RFEXGB_LR_SMOTE,RFEXGB,supervised,LR,SMOTE,21,9,0.33120647932288877,0.06405813505794751,0.2671483442649413,0.3952646143808362,0.6956521739130435,0.30434782608695654,23,23,17,0.17705237021891881,0.079830282848014,0.09722208737090487,0.2568826530669327,0.6712328767123288,0.3287671232876712,73,73,1,0.15415410910396996,8.0,true_anomaly_candidate,1,train_oof,23,73,1097,60,0.945980513689253,0.4142089670409066,-0.058772649384249906,0.20979677452199313,0.2971764048678659,0.2735105404949241,0.1358540960589796,0.23446186427957025,1.0759772798119278,0.30709266042927363,0.5061289786895902,high,1.7445648926740605,0.13043478260869565,0.0684931506849315,0.010027347310847767,train_oof,0.6145203682832058,1,1,1,1,monitor_first,train_oof,0.5483517567913296
RFEXGB_LR_SMOTE,RFEXGB,supervised,LR,SMOTE,348,23,0.18443249748279675,0.015720137031479686,0.16871236045131707,0.20015263451427642,0.6956521739130435,0.30434782608695654,23,23,65,0.05303060998616061,0.029503229724688475,0.023527380261472122,0.08253383971084909,0.4931506849315068,0.5068493150684932,73,73,1,0.13140188749663614,42.0,true_anomaly_candidate,1,train_oof,23,73,1097,60,1.503110211368745,0.17221413876939942,-0.05455876462390147,0.1482358389804831,0.7574114111508847,-0.127333923513656,-0.1922693609202277,-0.11921699383783445,1.6397260377322969,0.6459957056404898,0.26658793664099867,high,3.038593327243752,0.08695652173913043,0.0273972602739726,0.010027347310847767,train_oof,0.6112364376629866,1,1,1,1,monitor_first,train_oof,0.5483517567913296
RFEXGB_LR_SMOTE,RFEXGB,supervised,LR,SMOTE,56,3,0.5186454586288927,0.16750200094944917,0.35114345767944344,0.6861474595783419,0.782608695652174,0.21739130434782608,23,23,3,0.42728863950888335,0.21392606672770043,0.21336257278118287,0.6412147062365838,0.7397260273972602,0.2602739726027397,73,73,1,0.09135681912000931,0.0,shared_signal,1,train_oof,23,73,1097,60,0.39760590566874776,0.2683654286496727,-0.034340142522836264,0.16315468107738415,0.6364698170228489,0.463569310741405,0.2762604289364928,0.39873162088585357,0.42130308199672056,0.19140720551634766,0.29890936709349036,high,1.183988086914101,0.043478260869565216,0.0273972602739726,0.01276207839562443,train_oof,0.5948409739789825,1,1,1,1,review,train_oof,0.5483517567913296
RFEXGB_LR_SMOTE,RFEXGB,supervised,LR,SMOTE,129,5,0.41267470516548105,0.08024965147312284,0.33242505369235825,0.4929243566386038,0.8695652173913043,0.13043478260869565,23,23,6,0.382952302147598,0.09718160845551907,0.28577069369207886,0.4801339106031169,0.7945205479452054,0.2054794520547945,73,73,1,0.029722403017883037,1.0,shared_signal,1,train_oof,23,73,1097,60,0.6070759553097188,0.5487287203847218,-0.06909567341201418,0.3556396286586538,0.5763906456382701,0.499160921192766,0.2674717478562538,0.460546058970014,0.6689951224741227,0.08618388989395297,0.6188785876242388,high,1.8209321438221213,0.043478260869565216,0.0,0.010027347310847767,train_oof,0.5573660110671055,1,1,1,1,review,train_oof,0.5483517567913296
RFEXGB_LR_SMOTE,RFEXGB,supervised,LR,SMOTE,582,13,0.2694173817800057,0.03720109179841015,0.2322162899815955,0.3066184735784158,0.7391304347826086,0.2608695652173913,23,23,28,0.12685159616738903,0.0978471164131312,0.029004479754257843,0.22469871258052013,0.5068493150684932,0.4931506849315068,73,73,1,0.14256578561261665,15.0,true_anomaly_candidate,1,train_oof,23,73,1097,60,0.764796784479374,0.07237449152524826,-0.023651384156886203,0.060117615502759174,0.8888140520836286,-0.0119429441999272,-0.0119429441999272,0.09314537203314255,0.7961845880675769,0.701010010490821,0.09701854722589842,high,2.3312262554657015,0.08695652173913043,0.0136986301369863,0.010027347310847767,train_oof,0.5493615660808074,1,1,1,1,review,train_oof,0.5483517567913296
RFEXGB_LR_SMOTE,RFEXGB,supervised,LR,SMOTE,103,20,0.19022323516426284,0.013074968736623536,0.17714826642763928,0.20329820390088638,0.8695652173913043,0.13043478260869565,23,23,21,0.15930770057966867,0.05852571252977506,0.10078198804989359,0.21783341310944374,0.5616438356164384,0.4383561643835616,73,73,1,0.030915534584594173,1.0,shared_signal,1,train_oof,23,73,1097,60,0.9383434670045707,0.6241303480964359,-0.09614555319827692,0.6131886391451562,1.039258487162017,0.4508244259622606,-0.1703004164152602,0.4181336447844962,1.136501104471163,0.24414413038697494,0.7552569960925126,high,2.248817390739294,0.0,0.0410958904109589,0.010938924339106655,train_oof,0.517556768094742,1,1,1,1,review,train_oof,0.5483517567913296
RFEXGB_LR_SMOTE,RFEXGB,supervised,LR,SMOTE,102,12,0.28248029790003754,0.07582558464000788,0.20665471326002965,0.3583058825400455,0.8260869565217391,0.17391304347826086,23,23,20,0.1621623002578849,0.07245205505391462,0.08971024520397029,0.23461435531179958,0.6438356164383562,0.3561643835616438,73,73,1,0.12031799764215265,8.0,true_anomaly_candidate,1,train_oof,23,73,1097,60,-0.4896388322564022,-0.17412235317101066,0.025988501523427982,-0.08427877556782702,-0.5444737841628493,-0.181837550053801,-0.0310065500261438,-0.25324158730093665,-0.5192161780648069,-0.3517012548919223,-0.20465673665427164,low,-2.214718513405285,0.043478260869565216,0.0,0.010027347310847767,train_oof,0.5135763920993837,1,1,1,1,review,train_oof,0.5483517567913296
RFEXGB_LR_SMOTE,RFEXGB,supervised,LR,SMOTE,122,7,0.3728491445498552,0.16000276127239194,0.2128463832774632,0.5328519058222471,0.6086956521739131,0.391304347826087,23,23,5,0.41662995737581027,0.10516010670847314,0.311469850667337,0.5217900640842834,0.684931506849315,0.3150684931506849,73,73,1,-0.043780812825955084,-2.0,shared_signal,1,train_oof,23,73,1097,60,-0.32449892928812063,-0.46246954917016997,0.05940474068145414,-0.3964006135732899,-0.5171176699640857,-0.5935582654761528,-0.0185920470593,-0.5525683809262038,-0.3789011953789327,0.18928149955836074,-0.5210017893282787,low,-1.7513341721102278,0.0,0.0,0.010027347310847767,train_oof,0.4790940973025027,1,1,0,1,review,train_oof,0.5483517567913296
RFEXGB_LR_SMOTE,RFEXGB,supervised,LR,SMOTE,14,14,0.21263163464352747,0.0629799314464708,0.14965170319705662,0.2756115660899982,0.6086956521739131,0.391304347826087,23,23,18,0.1752240348067381,0.11365849896490103,0.061565535841837035,0.2888825337716391,0.6027397260273972,0.3972602739726027,73,73,1,0.037407599836789374,4.0,shared_signal,1,train_oof,23,73,1097,60,-0.5210116527058279,-0.24406318510335534,0.03979431625570318,-0.21575017163232887,-0.4915518052726117,-0.4373804019815814,0.0021746093685342,-0.1529443722181641,-0.5672569275106383,-0.26242526159477264,-0.28554994707276804,low,-2.1267470749747526,0.043478260869565216,0.0273972602739726,0.010027347310847767,train_oof,0.46016531386336545,1,1,1,1,review,train_oof,0.5483517567913296
