artifact_key,feature_set,category,model,balance_method,feature,pos_n,neg_n,pos_mean,neg_mean,pos_median,neg_median,pos_p95,neg_p95,mean_gap,median_gap,p95_gap,ks_stat,wasserstein_distance,distribution_sep_score,threshold
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,103,83,1170,0.7032917842146326,-0.0512052619209145,0.6469691130288461,-0.1376096352374962,2.3240061874481497,1.5623109860062447,0.754497046135547,0.7845787482663422,0.761695201441905,0.3521470497374112,0.7639390297672425,0.9822751955192788,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,59,83,1170,0.5903329662877204,-0.04257078479641221,0.2438670437447905,-0.2291242514549774,2.3813566425017894,1.9956085185254842,0.6329037510841325,0.4729912951997679,0.3857481239763052,0.36105447430748633,0.6588396210853033,0.9424868924712666,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,510,83,1170,0.5769057574404554,-0.041714906459009715,0.1697321509225343,-0.2527708951926937,3.069606046929173,1.3365098767461234,0.6186206638994651,0.422503046115228,1.7330961701830494,0.26306250643600043,0.6227984098999723,0.7277708716160912,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,348,83,1170,0.5236829542206037,-0.04040968603611432,0.0187708106511307,-0.1841524312444063,2.0618020100553958,1.4274639558899471,0.564092640256718,0.202923241895537,0.6343380541654486,0.24264236432911132,0.5857051879477612,0.6668386455901929,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,129,83,1170,0.42531475532099694,-0.030547655679397344,0.460546058970014,0.3447014723017579,1.3410465558352778,1.117080354943316,0.45586241100039426,0.11584458666825609,0.22396620089196184,0.2628153640201833,0.45592167876014605,0.6359598331751461,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,64,83,1170,0.4007753787817966,-0.030427900820421374,0.0793374662304257,-0.1296015883795223,3.0450285500365784,1.6216920965416324,0.43120327960221794,0.208939054609948,1.423336453494946,0.2245288847698486,0.5415266490840429,0.6066191585524952,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,65,83,1170,0.2785470914977409,-0.021440770764142716,0.0972474690136667,-0.1561740419056232,2.549736858289646,1.4082203039941301,0.29998786226188356,0.2534215109192899,1.1415165542955157,0.21598187622284007,0.4330670837104632,0.5302596707448626,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,28,83,1170,-0.42169903251282176,0.02949002396653421,-0.401189757152653,-0.07268094799345065,1.1171079021475157,1.6817221315078752,-0.451189056479356,-0.32850880915920233,-0.5646142293603595,0.20267737617135206,0.4519969167593248,0.5141440580426917,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,125,83,1170,-0.37788631848539306,0.027496032857101945,-0.540050795708347,-0.12849043071005684,0.9409325899267574,2.0616767736506234,-0.405382351342495,-0.4115603649982902,-1.120744183723866,0.21092575429924829,0.4125495035552591,0.5089707898295426,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,79,83,1170,0.32556138090128606,-0.026855962926328875,0.2852801393533037,-0.1596350208452765,2.3400970491248048,1.9908602461922287,0.3524173438276149,0.44491516019858024,0.3492368029325761,0.22275769745649263,0.36896744601931286,0.5086658415817078,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,122,83,1170,-0.3764760504581225,0.026843353365925457,-0.5171176699640857,-0.0208077164944322,0.8089604869626448,2.3014908102036946,-0.40331940382404796,-0.4963099534696535,-1.4925303232410498,0.1982494078879621,0.41408642560127107,0.4845872848769551,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,477,83,1170,0.21608533858956308,-0.015556459384958185,-0.0217364255944852,-0.107769708240094,0.6164201349385624,0.309009388086761,0.23164179797452128,0.0860332826456088,0.3074107468518014,0.24244670991658943,0.24954698416412907,0.482494874125606,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,377,83,1170,-0.29433527384633895,0.01999693109349759,-0.3714959728317686,0.0554598948876092,1.1228495641860532,1.549805431905431,-0.31433220493983655,-0.4269558677193778,-0.4269558677193779,0.2218412109978375,0.3179814003904293,0.47894125399335796,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,21,83,1170,0.41379949742376393,-0.02926183058165467,0.2545778489965707,0.1472925971725681,4.287162251931244,0.8324390923228757,0.4430613280054186,0.10728525182400261,3.4547231596083687,0.17966223869838327,0.4618921928433132,0.47376139216839364,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,102,83,1170,-0.1966074659755045,0.013502952469843354,-0.3005768479479141,-0.0310065500261438,2.009704788645924,1.6828508024157782,-0.21011041844534784,-0.26957029792177034,0.3268539862301456,0.20091648645865515,0.3679473962669662,0.4646460136356729,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,33,83,1170,0.3225567825414758,-0.022895406656336468,-0.1057833327067178,-0.1448918629162779,0.5129041261370826,0.4893847847458902,0.3454521891978123,0.039108530209560094,0.023519341391192383,0.19950571516836577,0.3454521891978126,0.44952877487890425,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,130,83,1170,0.3358811651012257,-0.025188567071226152,0.375682084102417,0.15313338695566975,1.3459944036622313,1.3124596684757361,0.3610697321724518,0.22254869714674724,0.03353473518649519,0.17769539697250541,0.3623853664411778,0.4153948891687832,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,0,83,1170,-0.11906898517712831,0.007527423893436662,-0.348133659792372,-0.02654051226281555,2.3827587379198105,1.5897803741856915,-0.12659640907056496,-0.3215931475295564,0.792978363734119,0.1877149624137576,0.3047220852846911,0.40377789791627483,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,124,83,1170,0.3274434570633101,-0.024386598271365457,0.2991009479565267,-0.2236608866797079,2.39014828650145,1.6931325069864755,0.35183005533467554,0.5227618346362346,0.6970157795149745,0.17331891669241067,0.3519789903302984,0.40099153275810695,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,14,83,1170,-0.3003407025322141,0.022083549076890138,-0.2963467085002608,-0.0212044375124078,1.4701834760699442,1.6019505326398344,-0.32242425160910426,-0.275142270987853,-0.1317670565698903,0.17658325610132838,0.32826944315684353,0.3945127367361311,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,316,83,1170,-0.2901502796518953,0.020752210529895024,-0.3850173040371883,-0.1203553963759352,1.296310843164253,1.883612681680164,-0.31090249018179034,-0.2646619076612531,-0.587301838515911,0.17751004016064256,0.32056525660487134,0.3921410064312275,0.1755144641265648
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,41,83,1170,0.04221000695708845,-0.003035744775612548,-0.0647180506299564,-0.1220194308928946,0.9480611068745126,0.8948526823446417,0.045245751732701,0.0573013802629382,0.05320842452987096,0.20296570898980537,0.18614574186828645,0.36923718825918794,0.1755144641265648
