artifact_key,feature_set,category,model,balance_method,feature,tp_rank,tp_mean_positive_shap,tp_mean_negative_shap_abs,tp_mean_shap,tp_mean_abs_shap,tp_positive_push_rate,tp_negative_push_rate,tp_group_rows_total,tp_explained_rows,fp_rank,fp_mean_positive_shap,fp_mean_negative_shap_abs,fp_mean_shap,fp_mean_abs_shap,fp_positive_push_rate,fp_negative_push_rate,fp_group_rows_total,fp_explained_rows,fp_evidence_sufficient,tp_fp_shap_gap,tp_fp_rank_gap,shap_signal_type,tp_signal_available,group_source_x,tp_n,fp_n,tn_n,fn_n,tp_mean,fp_mean,tn_mean,fn_mean,tp_median,fp_median,tn_median,fn_median,tp_vs_tn_smd,tp_vs_fp_smd,fp_vs_tn_smd,monitor_direction,suggested_threshold,tp_trigger_rate,fp_trigger_rate,tn_trigger_rate,group_source_y,model_feature_score,hard_gate_tp_signal,hard_gate_separation,hard_gate_gap,hard_gate_pass,recommendation,group_source,threshold
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,59,1,0.06336061584039797,0.002616120105760484,0.06074449573463749,0.06597673594615845,0.7413793103448276,0.25862068965517243,58,58,1,0.03678435151597022,0.00970425117573548,0.027080100340234753,0.04648860269170569,0.75,0.25,263,80,1,0.02657626432442775,0.0,true_anomaly_candidate,1,train_oof,58,263,907,25,0.8395000050617736,0.7344932398307016,-0.2678936497103383,0.012265436331917012,0.606820674964561,0.5849944366768446,-0.2969780256584837,-0.1997474513837377,2.075314366454294,0.06747902099038922,1.1360045321279613,high,2.0997266636054173,0.15517241379310345,0.1520912547528517,0.011025358324145534,train_oof,0.8918513795973226,1,1,1,1,monitor_first,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,103,2,0.04705813300482767,0.0008071506056084793,0.046250982399219195,0.04786528361043615,0.8620689655172413,0.13793103448275862,58,58,2,0.019696473657232635,0.005486795927545284,0.014209677729687353,0.02518326958477791,0.7875,0.2125,263,80,1,0.027361659347595033,0.0,true_anomaly_candidate,1,train_oof,58,263,907,25,1.110840025258156,0.8329212371426694,-0.3075727032149857,-0.24222013500634154,1.1536762212841918,0.8758045812731956,-0.3337543223040816,-0.268372759948553,1.7904949526405374,0.26452372218440784,1.350795602685537,high,1.691112663846634,0.1896551724137931,0.1482889733840304,0.011025358324145534,train_oof,0.8155146125053925,1,1,1,1,monitor_first,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,510,8,0.015625980354116754,0.00037383152939427633,0.015252148824722478,0.01599981188351103,0.8620689655172413,0.13793103448275862,58,58,9,0.00405775710325716,0.00287344589845346,0.0011843112048036993,0.006931203001710623,0.5125,0.4875,263,80,1,0.011568223250859594,1.0,true_anomaly_candidate,1,train_oof,58,263,907,25,0.9061877223165584,0.6540716913385093,-0.24347000593061668,-0.18702840107210383,0.3464179522601025,0.2459370924286385,-0.3346831632516883,-0.3842925959965427,1.714786009837823,0.1636748982036368,1.0430875169887466,high,1.7122178561814627,0.1896551724137931,0.12167300380228137,0.011025358324145534,train_oof,0.4873586955896841,1,1,1,1,review,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,64,4,0.022675265933970592,0.0009338649141500711,0.021741401019820535,0.02360913084812066,0.6724137931034483,0.3275862068965517,58,58,3,0.009988865359496734,0.0045333805662858394,0.0054554847932108946,0.014522245925782573,0.45,0.55,263,80,1,0.012686400574473858,-1.0,true_anomaly_candidate,1,train_oof,58,263,907,25,0.6928736747192853,0.2534614346248644,-0.11274641815461119,-0.2768926677931774,0.40767606214465957,-0.0621122452059986,-0.136437749680838,-0.3391086326524878,1.0263478024926684,0.2919663362672603,0.3921960001518537,high,1.7383930783862291,0.27586206896551724,0.17490494296577946,0.011025358324145534,train_oof,0.4612016798878933,1,1,1,1,review,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,65,6,0.019543255402327007,0.0004983850969483037,0.019044870305378703,0.02004164049927532,0.6724137931034483,0.3275862068965517,58,58,4,0.00815043114530887,0.004330572926950723,0.0038198582183581473,0.012481004072259598,0.4125,0.5875,263,80,1,0.011392824257018137,-2.0,true_anomaly_candidate,1,train_oof,58,263,907,25,0.5036140226837765,0.3209056822917749,-0.120709918673411,-0.24360818885386182,0.3870849489833478,-0.0498383185005478,-0.1715211135253209,-0.3827022879020223,0.7981905140213539,0.12464513349885753,0.4599440200829192,high,1.4837570182005013,0.25862068965517243,0.16730038022813687,0.011025358324145534,train_oof,0.41089976603848904,1,1,1,1,review,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,122,10,0.0113515532660672,0.00032238913910731743,0.011029164126959885,0.011673942405174519,0.896551724137931,0.10344827586206896,58,58,12,0.003731036517358946,0.0042676353007049216,-0.0005365987833459745,0.007998671818063867,0.5,0.5,263,80,1,0.007620516748708254,2.0,true_anomaly_candidate,1,train_oof,58,263,907,25,-0.4448792061393387,-0.3232844250770246,0.12836882826173127,-0.2177807292777009,-0.7065574066679046,-0.3143839166494729,0.1365048133999667,-0.0396409066930573,-0.5535733551354193,-0.16578235457858545,-0.45537883928609835,low,-1.6648344373626591,0.017241379310344827,0.026615969581749048,0.014332965821389196,train_oof,0.3081943373307744,1,1,1,1,drop,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,79,15,0.006824016775597907,1.2348060134620689e-06,0.006822781969584444,0.0068252515816113685,0.9827586206896551,0.017241379310344827,58,58,21,0.0016309168212909903,0.0026673001076288477,-0.0010363832863378585,0.004298216928919843,0.525,0.475,263,80,1,0.005193099954306916,6.0,true_anomaly_candidate,1,train_oof,58,263,907,25,0.5965866960372787,0.5805051385991039,-0.202970593247375,-0.30321735021421653,0.5098975017836549,0.388949691244235,-0.2460263140877193,-0.5699936637468797,0.9916909373676663,0.012761369792200158,0.8441233649305299,high,2.079886473878565,0.15517241379310345,0.16730038022813687,0.011025358324145534,train_oof,0.3022237569868806,1,1,1,1,drop,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,377,11,0.011126697366763909,0.0007304499284494669,0.010396247438314445,0.011857147295213371,0.8620689655172413,0.13793103448275862,58,58,11,0.0037908958559956774,0.005836692580528431,-0.0020457967245327514,0.009627588436524106,0.7,0.3,263,80,1,0.007335801510768231,0.0,true_anomaly_candidate,1,train_oof,58,263,907,25,-0.3788572808958958,-0.27246818602233125,0.1048021414589474,-0.0982442174913669,-0.3714959728317686,-0.3714959728317686,0.0554598948876092,-0.1580180389720797,-0.4691857260347248,-0.12978854846473842,-0.37741015762879904,low,-1.6523635759899018,0.05172413793103448,0.049429657794676805,0.019845644983461964,train_oof,0.2955138142001872,1,1,1,1,drop,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,63,13,0.00762972745548337,0.00027560391945639375,0.007354123536026975,0.007905331374939765,0.7068965517241379,0.29310344827586204,58,58,13,0.002526325710852912,0.003247317804372648,-0.0007209920935197336,0.005773643515225561,0.2875,0.7125,263,80,1,0.0051034017446304585,0.0,true_anomaly_candidate,1,train_oof,58,263,907,25,0.41408692938646696,0.3577210349792944,-0.12881160833124286,-0.06995899183437918,-0.08807908276093575,0.1300518737373428,-0.1553136451044119,-0.0255875114398073,0.8852150034996107,0.033535487931342575,0.5019985603053911,high,1.2781282898991777,0.1896551724137931,0.11406844106463879,0.011025358324145534,train_oof,0.29370672285210225,1,1,1,1,drop,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,28,18,0.006093228202610394,1.1566387965635816e-05,0.006081661814644757,0.006104794590576029,0.9655172413793104,0.034482758620689655,58,58,20,0.0016533050934187377,0.0005828242934135629,0.001070480800005175,0.0022361293868323013,0.7375,0.2625,263,80,1,0.004439923109191656,2.0,true_anomaly_candidate,1,train_oof,58,263,907,25,-0.667981956330433,-0.6773423597667378,0.23444803600826578,0.14967735074403657,-0.5500855920466661,-0.6115635651551136,0.132842785371457,0.1814017909017926,-0.9971364518224015,0.009962669709588465,-0.9885659685055678,low,-1.8926829619183871,0.10344827586206896,0.09885931558935361,0.011025358324145534,train_oof,0.29023502368463877,1,1,1,1,drop,train_oof,0.20232788980713348
