anchor_rank,feature,n_models,mean_tp_mean_positive_shap,max_tp_mean_positive_shap,mean_fp_mean_positive_shap,mean_tp_fp_shap_gap,mean_tp_positive_push_rate,mean_fp_positive_push_rate,mean_tp_vs_tn_smd,mean_tp_vs_fp_smd,avg_tp_trigger_rate,avg_fp_trigger_rate,avg_tn_trigger_rate,fp_evidence_coverage,dominant_monitor_direction,appeared_in_topn_models,avg_rank,best_rank,worst_rank,avg_mean_positive_shap,max_mean_positive_shap,appeared_categories,appeared_feature_sets,tp_fp_ratio,score_tp_shap,score_gap,score_ratio,score_fp_penalty,final_candidate_score,tp_signal_available,gap_positive,ratio_pass,tp_fp_priority_candidate,recommendation,redundancy_cluster,cluster_size,dominant_monitor_direction_all,mean_suggested_threshold,threshold_defined_rate,mean_tp_trigger_rate_all,mean_fp_trigger_rate_all,mean_tn_trigger_rate_all,mean_ks_stat,mean_wasserstein_distance,mean_distribution_sep_score,mean_median_gap,mean_p95_gap,score_model_signal,score_distribution_sep,score_stability_anchor,score_fp_penalty_anchor,overall_anchor_score,anchor_recommendation
1,62,1,0.5590678188920222,0.5590678188920222,0.27867889420763625,0.2803889246843859,0.5357142857142857,0.4625,-0.4830222605577069,-0.23438234361473495,0.14285714285714285,0.04864864864864865,0.01015228426395939,1.0,low,1.0,6.0,6.0,6.0,0.5590678188920222,0.5590678188920222,supervised,Base,2.0061362037538286,0.9540450693274399,1.0,0.09437902766872713,0.6258505621923185,0.7630788894839533,1,1,1,1,monitor_first,C001,1.0,low,-1.76827661432946,1.0,0.14285714285714285,0.04864864864864865,0.01015228426395939,0.1539491298527443,0.2740552124058246,0.39452068807983176,-0.068640251029954,0.23190539038258295,0.7630788894839533,0.40131538493774976,0.0,0.6258505621923185,0.7630788894839533,primary_anchor
2,64,10,0.5413303904626329,1.4382983169994314,0.3189222794667911,0.22240811099584185,0.7213165411476551,0.46657534246575344,1.1191220407702498,0.42484674242261233,0.2241801443600544,0.12428086759922168,0.01032609090133906,1.0,high,10.0,1.9,1.0,4.0,0.5413303904626329,1.4382983169994314,supervised,"ANOVA,Base,RFERF,RFEXGB",1.697374016539979,0.9237762798107327,0.8679928400788015,0.08508592520287656,0.5718204928790245,0.7041075982764113,1,1,1,1,monitor_first,C002,1.0,high,2.2257916009585648,1.0,0.2241801443600544,0.12428086759922168,0.01032609090133906,0.2245288847698486,0.5415266490840429,0.6148939418032636,0.20893905460994802,1.423336453494946,0.7041075982764113,0.6254840529446039,1.0,0.5718204928790245,0.7041075982764113,primary_anchor
3,558,1,0.4106489566723353,0.4106489566723353,0.17240742242559587,0.23824153424673944,0.5,0.25,0.5095345239353838,0.44948626204888614,0.07142857142857142,0.016216216216216217,0.012182741116751269,1.0,high,,,,,,,,,2.3818519579663393,0.7007693862868658,0.9040414068755491,0.1044773886183499,0.7685287924016724,0.6492685335412482,1,1,1,1,monitor_first,C003,1.0,high,4.1625099291033765,1.0,0.07142857142857142,0.016216216216216217,0.012182741116751269,0.09899083513541344,0.18054322310979698,0.2530450875343404,0.05369791325101461,0.9419210627708698,0.6492685335412482,0.25740319780112886,0.0,0.7685287924016724,0.6492685335412482,primary_anchor
4,168,1,0.42636516533942903,0.42636516533942903,0.2649881562870624,0.16137700905236663,0.35714285714285715,0.4125,0.16339295738121218,0.20946071620869391,0.0,0.0,0.01116751269035533,1.0,low,,,,,,,,,1.6089970635425173,0.7275889793320843,0.7290409709709152,0.08222941609143287,0.6442315088754873,0.5906169171299435,1,1,1,1,monitor_first,C004,1.0,low,-1.6421916822436604,1.0,0.0,0.0,0.01116751269035533,0.06957059005251777,0.14000896408237046,0.18232175753568208,-0.08467276114690131,0.11113299900530982,0.5906169171299435,0.18546182372355993,0.0,0.6442315088754873,0.5906169171299435,primary_anchor
5,104,1,0.3654669025770228,0.3654669025770228,0.16751813923897144,0.19794876333805136,0.39285714285714285,0.4,-0.41314927786582406,-0.1902343871763071,0.0,0.0,0.01015228426395939,1.0,high,,,,,,,,,2.1816556955403463,0.6236665474628627,0.8123052977277342,0.09924489448705069,0.775093058995163,0.5905164931003918,1,1,1,1,monitor_first,C005,1.0,high,2.123733255626273,1.0,0.0,0.0,0.01015228426395939,0.09833178869323447,0.29561516021627765,0.3124834383905626,0.2300219479893332,-0.11501097399466675,0.5905164931003918,0.3178652353435126,0.0,0.775093058995163,0.5905164931003918,primary_anchor
6,249,3,0.11608402759776622,0.33927696051763767,0.0,0.11608402759776622,0.024725274725274724,0.0,0.5216490952008942,0.277455218140355,,,,1.0,flat,,,,,,,,,116084.02759776622,0.1980965285692993,0.6259206891773079,1.0,1.0,0.5670148181809122,1,1,1,1,monitor_first,C006,1.0,flat,,0.0,,,,0.02409638554216868,0.48947523835436196,0.24521785032928278,0.0,0.0,0.5670148181809122,0.24944115472745576,0.0,1.0,0.5670148181809122,primary_anchor
7,61,1,0.2760715645346984,0.2760715645346984,0.13262921413182127,0.14344235040287712,0.6071428571428571,0.525,0.5415038025023344,0.40164653687191315,0.10714285714285714,0.04864864864864865,0.01015228426395939,1.0,high,,,,,,,,,2.081529068401993,0.47111406885809504,0.6882084403135705,0.09650303363227347,0.8219343232095552,0.49640219868471935,1,1,1,1,monitor_first,C007,1.0,high,1.9928813219346013,1.0,0.10714285714285714,0.04864864864864865,0.01015228426395939,0.1455668829162805,0.3020077291736062,0.3951541410343551,0.0630674192161382,0.5336852506443446,0.49640219868471935,0.40195974763903614,0.0,0.8219343232095552,0.49640219868471935,primary_anchor
8,108,1,0.2898638319098771,0.2898638319098771,0.16764042180748512,0.12222341010239196,0.7142857142857143,0.425,-0.38398457673025904,-0.4039692079151411,0.0,0.005405405405405406,0.01015228426395939,1.0,low,,,,,,,,,1.7290807836474598,0.49465047041705573,0.6398984586591058,0.08608798759157794,0.7749288845448762,0.4845402117373572,1,1,1,1,monitor_first,C008,1.0,low,-2.247421980408178,1.0,0.0,0.005405405405405406,0.01015228426395939,0.1063845124086088,0.12326769427729176,0.23532358802945702,-0.16832316153505683,-0.1232241627375612,0.4845402117373572,0.23937648688239166,0.0,0.7749288845448762,0.4845402117373572,primary_anchor
9,20,1,0.20589599006249562,0.20589599006249562,0.10251485766561438,0.10338113239688124,0.6785714285714286,0.4125,0.349801701144709,0.38377136045427723,0.0,0.010810810810810811,0.01015228426395939,1.0,high,,,,,,,,,2.008450235907194,0.3513599736481248,0.596999516610584,0.09444500848533502,0.8623653345848783,0.4247693795979799,1,1,1,1,monitor_first,C009,1.0,high,1.9996529150092448,1.0,0.0,0.010810810810810811,0.01015228426395939,0.048573782308722065,0.08975248163437112,0.12062596744960834,0.03162275412348366,0.1905989634897014,0.4247693795979799,0.12270346783622259,0.0,0.8623653345848783,0.4247693795979799,primary_anchor
10,75,8,0.189306682579572,0.5093435475986309,0.10254248734308746,0.08676419523648454,0.6051404276583966,0.44535530821917807,0.30877474808806793,0.3339690331476789,0.05952405685489511,0.053850439992011306,0.010379472671926602,1.0,low,2.0,5.5,4.0,7.0,0.3769939582781808,0.5093435475986309,supervised,RFEXGB,1.8461292239400067,0.32305044397602456,0.5591670934073477,0.08968898049977528,0.8623282394603166,0.4011409256586009,1,1,1,1,monitor_first,C010,1.0,low,-0.06666036539948261,1.0,0.05952405685489511,0.053850439992011306,0.010379472671926602,0.06194006796416435,0.22259632404193064,0.12765433135174856,0.004405281956202899,0.07775322652698113,0.4011409256586009,0.12985287888130126,0.1111111111111111,0.8623282394603166,0.4011409256586009,primary_anchor
11,348,10,0.1492661771873253,0.6008928918685454,0.05799020234024651,0.09127597484707879,0.7013821951338487,0.44556506849315064,1.107298072786463,0.40420512916861695,0.05132191149630959,0.031570227234289275,0.01032609090133906,1.0,high,4.0,5.75,5.0,8.0,0.16406919877048115,0.6008928918685454,supervised,"Base,RFERF",2.5739895907162786,0.25472161972254026,0.5694392364611558,0.10921574033322372,0.9221433626480839,0.386777903158816,1,1,1,1,monitor_first,C011,1.0,high,2.7507913517281457,1.0,0.05132191149630959,0.031570227234289275,0.01032609090133906,0.2426423643291113,0.5857051879477612,0.674272220718002,0.20292324189553704,0.6343380541654486,0.386777903158816,0.6858849839466997,0.3333333333333333,0.9221433626480839,0.386777903158816,primary_anchor
12,21,10,0.15532280168720422,0.4360840612234356,0.09376738090543094,0.061555420781773285,0.7227573275687086,0.48087328767123283,0.796851482303359,0.25983342315676977,0.09938026394581205,0.060297829343139764,0.01032609090133906,1.0,high,2.0,7.5,6.0,9.0,0.3836452702731622,0.4360840612234356,supervised,"RFERF,RFEXGB",1.6564694479827158,0.2650572043253687,0.5017733020967233,0.08377563152916931,0.8741095447855255,0.3607209531435509,1,1,1,1,monitor_first,C012,1.0,high,1.5014229853996803,1.0,0.09938026394581205,0.060297829343139764,0.01032609090133906,0.17966223869838327,0.4618921928433132,0.48464107107720855,0.10728525182400261,3.454723159608369,0.3607209531435509,0.4929878809210563,0.1111111111111111,0.8741095447855255,0.3607209531435509,primary_anchor
13,437,3,0.10538055142730103,0.2513686427597865,0.026981305656938306,0.07839924577036272,0.7967032967032966,0.17916666666666667,0.5460634522176749,0.33903090870209596,0.05287466157031375,0.013080900864121928,0.010125803967312393,1.0,high,,,,,,,,,3.905687618204724,0.17983112619766267,0.5401222895893347,0.13637322982857694,0.9637753681649851,0.3576213201380794,1,1,1,1,monitor_first,C013,1.0,high,2.1996667600893356,1.0,0.05287466157031375,0.013080900864121928,0.010125803967312393,0.07622284007826176,0.307897590960793,0.22631730092415536,0.03668840664221236,0.2676225530388898,0.3576213201380794,0.23021508752938066,0.0,0.9637753681649851,0.3576213201380794,primary_anchor
14,22,3,0.13971976769582573,0.36721558187950426,0.08372920311405395,0.05599056458177178,0.8507326007326007,0.4041666666666666,-0.5939227777403576,-0.2571607893108178,0.07584806497849976,0.05006794914939434,0.010125803967312393,1.0,low,,,,,,,,,1.6687101094883556,0.23843074302139913,0.48910357886244565,0.08416983953836227,0.8875866277484675,0.3476960015498126,1,1,1,1,monitor_first,C014,1.0,low,-1.5079081540618302,1.0,0.07584806497849976,0.05006794914939434,0.010125803967312393,0.11886520440737308,0.37753942115822275,0.34297402167418417,-0.05958809314834016,0.07049858907690942,0.3476960015498126,0.3488809476677471,0.0,0.8875866277484675,0.3476960015498126,primary_anchor
15,70,3,0.11508122434564254,0.26795437232655805,0.04812578444756612,0.06695543989807641,0.8928571428571429,0.3125,-0.6327273374942243,-0.3889384211828339,0.09675107501194458,0.05665221253096329,0.010125803967312393,1.0,low,2.0,8.5,8.0,9.0,0.03864465035518476,0.04840294537553844,supervised,ANOVA,2.391259190196173,0.19638525228784534,0.5140677343703463,0.10471558106669979,0.9353871585923025,0.3472562532988122,1,1,1,1,monitor_first,C015,1.0,low,-1.8968954560732378,1.0,0.09675107501194458,0.05665221253096329,0.010125803967312393,0.12704149933065595,0.24625488145636157,0.27775785494328936,-0.17597077468759115,-0.2959007006721299,0.3472562532988122,0.28254158487499653,0.1111111111111111,0.9353871585923025,0.3472562532988122,primary_anchor
16,582,10,0.12951177768700323,0.30566460547399693,0.08279790475852575,0.046713872928477465,0.735505369621804,0.3856849315068493,0.4491570085047293,0.23605936794939003,0.07202307836600984,0.01885069673202526,0.010546598067821971,1.0,high,2.0,7.5,5.0,10.0,0.13768992982517628,0.21622404157388297,supervised,"ANOVA,RFEXGB",1.5641914860613344,0.22101088409451314,0.4679829763611733,0.0807440323092356,0.8888369727275619,0.33383175028076056,1,1,1,1,monitor_first,C016,1.0,high,2.267512710595244,1.0,0.07202307836600984,0.01885069673202526,0.010546598067821971,0.1462774173617547,0.3136199584357518,0.337451489774526,0.330277565303967,0.6395374673613485,0.33383175028076056,0.34326330306226605,0.1111111111111111,0.8888369727275619,0.33383175028076056,primary_anchor
17,561,3,0.13080167494276734,0.27872628172442726,0.08630838647506574,0.04449328846770161,0.45445134575569357,0.38658675799086756,0.18304967350454018,0.11024778815079007,0.0,0.011055122919529698,0.011778811730814546,1.0,high,,,,,,,,,1.51551523884131,0.22321208415507043,0.46292728587695914,0.07910062282530708,0.8841238610137664,0.332395530091554,1,1,1,1,monitor_first,C017,1.0,high,2.7244401058375343,1.0,0.0,0.011055122919529698,0.011778811730814546,0.09766244465039646,0.14804852378036787,0.18466674696570376,0.17090035069888346,0.010363054589516363,0.332395530091554,0.18784720011627695,0.0,0.8841238610137664,0.332395530091554,primary_anchor
18,302,1,0.09226336501988064,0.09226336501988064,0.03455410093800743,0.057709264081873206,0.39285714285714285,0.4875,0.37557368914805184,0.433564530871473,0.03571428571428571,0.005405405405405406,0.01015228426395939,1.0,high,,,,,,,,,2.670113315505092,0.1574467452825713,0.4930166084550469,0.11149149539744477,0.9536082648933121,0.3285428062183628,1,1,1,1,monitor_first,C018,1.0,high,1.7925441895572967,1.0,0.03571428571428571,0.005405405405405406,0.01015228426395939,0.07218618061991557,0.16895902380090563,0.20194532820812552,-0.021441567223081298,-0.01244109540036975,0.3285428062183628,0.20542336454058094,0.0,0.9536082648933121,0.3285428062183628,primary_anchor
19,26,3,0.11337537142051196,0.3119065406307984,0.06888785590968047,0.044487515510831493,0.7290969899665551,0.25,-0.7050267226032082,-0.18348631579494343,0.04937091893613632,0.013192249199597638,0.011213292244184292,1.0,high,,,,,,,,,1.6457961991030683,0.19347422697530997,0.46291414236288453,0.08343041642656861,0.9075123624497385,0.323701253029277,1,1,1,1,monitor_first,C019,1.0,high,-1.467783860019842,1.0,0.04937091893613632,0.013192249199597638,0.011213292244184292,0.07587272165585418,0.4043208864978684,0.28409397163784966,-0.004136467257731702,0.0034384384079900743,0.323701253029277,0.2889868263721254,0.0,0.9075123624497385,0.323701253029277,primary_anchor
20,38,3,0.09636001530624157,0.17966030709116204,0.04597747019293894,0.05038254511330261,0.8809523809523809,0.3499999999999999,0.33195733883596074,0.017827219216669982,0.06569517439082656,0.06378209195110603,0.010125803967312393,1.0,high,2.0,2.0,2.0,2.0,0.05470986941378132,0.07034231462365358,supervised,ANOVA,2.095809423656376,0.16443764848677872,0.4763355841462612,0.09689948729287606,0.9382714479565487,0.32188277689281997,1,1,1,1,monitor_first,C020,1.0,high,3.1542226957645902,1.0,0.06569517439082656,0.06378209195110603,0.010125803967312393,0.1563690660076202,0.4693374269524326,0.46407150751653264,0.1666774038008928,1.6886315321188008,0.32188277689281997,0.47206405469908697,0.1111111111111111,0.9382714479565487,0.32188277689281997,primary_anchor
21,562,3,0.09439531492153737,0.21667877165066524,0.04892530884497757,0.0454700060765598,0.8214285714285715,0.2791666666666667,-0.4092315825191785,-0.3329889086725124,0.1359691033604077,0.019694035738126368,0.010125803967312393,1.0,low,,,,,,,,,1.9293759640973125,0.1610849019122262,0.46515101661456115,0.09216105402059462,0.9343137310381435,0.3158428496571921,1,1,1,1,monitor_first,C021,1.0,low,-2.0656648886209372,1.0,0.1359691033604077,0.019694035738126368,0.010125803967312393,0.12132633096488517,0.21931067641847649,0.25145904174887573,-0.13790188561958538,-0.3153883427831796,0.3158428496571921,0.2557898360835962,0.0,0.9343137310381435,0.3158428496571921,primary_anchor
22,102,8,0.09614091738979051,0.28248029790003754,0.058522723113290584,0.03761819427649993,0.8085005676769996,0.5695419520547945,-0.3524779906935076,-0.17111976290430161,0.04379727338307791,0.014647409813836823,0.010379472671926602,1.0,low,,,,,,,,,1.642796375070879,0.1640637595240688,0.4472744931575189,0.08333313951759262,0.92142840951745,0.30861732061214675,1,1,1,1,monitor_first,C022,1.0,low,-2.1068161821753932,1.0,0.04379727338307791,0.014647409813836823,0.010379472671926602,0.20091648645865515,0.3679473962669662,0.47514929631284564,-0.26957029792177034,0.3268539862301456,0.30861732061214675,0.4833326325186406,0.0,0.92142840951745,0.30861732061214675,primary_anchor
23,588,3,0.09282600350441489,0.12167784503781769,0.05502806864467904,0.03779793485973585,0.6485507246376812,0.3171232876712329,0.4134430561298981,0.43495847999552034,0.0,0.0018018018018018018,0.011171093711975286,1.0,high,,,,,,,,,1.686884635254062,0.15840688366622496,0.44768371549170355,0.08475182360438294,0.9261202718433745,0.3072302600192151,1,1,1,1,monitor_first,C023,1.0,high,3.358525346899427,1.0,0.0,0.0018018018018018018,0.011171093711975286,0.1284934610235815,0.17810352920555297,0.25739600743027946,0.2405042786307684,-0.03435775409010988,0.3072302600192151,0.26182905212418217,0.0,0.9261202718433745,0.3072302600192151,primary_anchor
24,57,6,0.09843702910735087,0.2834800833129176,0.06549894010217323,0.03293808900517763,0.6333586367054928,0.3979166666666667,-0.3128815334149839,-0.3359964722202577,0.03771551208163784,0.011281208010769603,0.010952706441098685,1.0,low,,,,,,,,,1.5028797252871084,0.16798205706998157,0.4366191165648728,0.07866882244206438,0.9120622618878054,0.3051185484746479,1,1,1,1,monitor_first,C024,1.0,low,-2.4893091718126463,1.0,0.03771551208163784,0.011281208010769603,0.010952706441098685,0.14162290186386572,0.22026790684321854,0.2791243417981706,-0.1670027218809318,0.009543012678895568,0.3051185484746479,0.2839316062724754,0.0,0.9120622618878054,0.3051185484746479,primary_anchor
25,159,3,0.09476031507667633,0.24896330366618732,0.06120551481707889,0.03355480025959744,0.7711419015766842,0.15416666666666667,0.5353520449582597,0.08360235937943665,0.08225832138875618,0.0613810687601257,0.010125803967312393,1.0,high,,,,,,,,,1.5482316480774743,0.1617077719586621,0.43802320691835955,0.0802086584719756,0.9178265400232369,0.30391445655569155,1,1,1,1,monitor_first,C025,1.0,high,2.9773275121584954,1.0,0.08225832138875618,0.0613810687601257,0.010125803967312393,0.10021624961383997,0.39788038335306536,0.3227161555327094,0.06926723744293789,3.5951319683762364,0.30391445655569155,0.32827418712458817,0.0,0.9178265400232369,0.30391445655569155,primary_anchor
26,551,10,0.06545765658160581,0.31880466177675126,0.022334677431169275,0.04312297915043652,0.6704211039545946,0.31210616438356165,0.7493233646710876,0.2658139213001422,0.06274647542098374,0.026223074157616055,0.01076450690178445,1.0,high,,,,,,,,,2.9307634633780757,0.11170300346597363,0.459807449681534,0.11737476367861181,0.9700138504272172,0.3030997740692937,1,1,1,1,monitor_first,C026,1.0,high,0.6908213781076025,1.0,0.06274647542098374,0.026223074157616055,0.01076450690178445,0.0813304500051488,0.30609680792642446,0.20975304075672446,0.05069331740895454,0.23394892511717194,0.3030997740692937,0.21336554669121696,0.0,0.9700138504272172,0.3030997740692937,primary_anchor
27,32,3,0.07594241156704364,0.19000199339298574,0.04088125105062694,0.0350611605164167,0.8260869565217391,0.25,0.493076757041121,0.20797142857574488,0.023809523809523808,0.008994573262791267,0.0112511054925715,1.0,low,,,,,,,,,1.8576342361195672,0.1295951597642692,0.4414527955472643,0.0900349041154049,0.945113543166027,0.29679223770957064,1,1,1,1,monitor_first,C027,1.0,low,0.4713826588321433,1.0,0.023809523809523808,0.008994573262791267,0.0112511054925715,0.10267737617135207,0.24235368022637774,0.23283737210876362,0.027723875704732504,0.027054678704961366,0.29679223770957064,0.2368474517027472,0.0,0.945113543166027,0.29679223770957064,primary_anchor
28,154,3,0.060834987393755736,0.09702886737808161,0.03643257898193201,0.02440240841182374,0.4808488612836439,0.454851598173516,0.2671285704671784,0.23941660524656702,0.038302277432712216,0.016704840433653993,0.010211968446355238,1.0,high,,,,,,,,,1.6697963496881625,0.10381445292385767,0.4171856025894425,0.0842047342931795,0.9510862529337527,0.27863103409838696,1,1,1,1,monitor_first,C028,1.0,high,0.891031303788712,1.0,0.038302277432712216,0.016704840433653993,0.010211968446355238,0.10153434249819791,0.18689154954947515,0.21274446004207084,0.05831985806234715,-0.10832068120872873,0.27863103409838696,0.21640848618281106,0.0,0.9510862529337527,0.27863103409838696,primary_anchor
29,120,1,0.0607965646638114,0.0607965646638114,0.036572053113335765,0.024224511550475634,0.6428571428571429,0.5125,-0.19462688949964999,-0.23188793266659838,0.0,0.0,0.01015228426395939,1.0,low,,,,,,,,,1.6623776760742568,0.1037488848213578,0.4167805779281536,0.0839661310863361,0.9508989973900496,0.2784168532632614,1,1,1,1,monitor_first,C029,1.0,low,-2.6980843965209282,1.0,0.0,0.0,0.01015228426395939,0.11504479456286686,0.1786226317985196,0.278989014004713,-0.08128453191583121,0.13909567705400905,0.2784168532632614,0.2837939477740363,0.0,0.9508989973900496,0.2784168532632614,primary_anchor
