anchor_rank,feature,n_models,mean_tp_mean_positive_shap,max_tp_mean_positive_shap,mean_fp_mean_positive_shap,mean_tp_fp_shap_gap,mean_tp_positive_push_rate,mean_fp_positive_push_rate,mean_tp_vs_tn_smd,mean_tp_vs_fp_smd,avg_tp_trigger_rate,avg_fp_trigger_rate,avg_tn_trigger_rate,fp_evidence_coverage,dominant_monitor_direction,appeared_in_topn_models,avg_rank,best_rank,worst_rank,avg_mean_positive_shap,max_mean_positive_shap,appeared_categories,appeared_feature_sets,tp_fp_ratio,score_tp_shap,score_gap,score_ratio,score_fp_penalty,final_candidate_score,tp_signal_available,gap_positive,ratio_pass,tp_fp_priority_candidate,recommendation,redundancy_cluster,cluster_size,dominant_monitor_direction_all,mean_suggested_threshold,threshold_defined_rate,mean_tp_trigger_rate_all,mean_fp_trigger_rate_all,mean_tn_trigger_rate_all,mean_ks_stat,mean_wasserstein_distance,mean_distribution_sep_score,mean_median_gap,mean_p95_gap,score_model_signal,score_distribution_sep,score_stability_anchor,score_fp_penalty_anchor,overall_anchor_score,anchor_recommendation
165,31,8,0.040011107919915995,0.10594069898796044,0.043560319011659375,-0.003549211091743383,0.7471087176124822,0.6499143835616438,-0.16679434121182407,-0.06123717495812853,0.0,0.0017499297687049349,0.010379472671926602,1.0,high,,,,,,,,,0.9185219215039863,0.06827865768588715,0.35354706992440477,0.055869549658998235,0.941516673104091,0.23870116129388505,1,0,0,0,false_positive_risk,,,high,1.5963465240206844,1.0,0.0,0.0017499297687049349,0.010379472671926602,0.11847389558232932,0.23174365902970664,0.2417923782207697,0.009676393061868294,-0.08545929833967159,0.23870116129388505,0.24595668686719674,0.0,0.941516673104091,0.23870116129388505,review_anchor
166,423,8,0.05582145702359468,0.15163527923700498,0.06897371913095013,-0.01315226210735544,0.47346088002244296,0.4163313356164383,0.1900352586827553,-0.10992015602075077,0.0026041666666666665,0.014002445249101854,0.010379472671926602,1.0,high,,,,,,,,,0.8093148771289945,0.09525890068503468,0.3316834324466887,0.05084413280589079,0.9073970839818167,0.2385171249673803,1,0,0,0,false_positive_risk,,,high,2.2322472799607684,1.0,0.0026041666666666665,0.014002445249101854,0.010379472671926602,0.13495005663680362,0.2396271714368368,0.2778981248411389,0.10685671635254079,0.5500802694381539,0.2385171249673803,0.282684270594026,0.0,0.9073970839818167,0.2385171249673803,review_anchor
167,571,6,0.024213148337059672,0.05841661034218829,0.02030194299235524,0.003911205344704432,0.6559079039809262,0.39166666666666666,-0.13189084979475965,-0.1904428198783833,0.0,0.005938938113050304,0.011947700405601074,1.0,high,,,,,,,,,1.1926517745704048,0.04131955731175305,0.37053248842672376,0.06732176323676206,0.9727429643404076,0.2384262185341115,1,1,0,0,review,C119,1.0,high,1.9400146485749705,1.0,0.0,0.005938938113050304,0.011947700405601074,0.1637009576768613,0.29612109280244603,0.36315560540474046,0.34067944542799583,-0.01492517741176047,0.2384262185341115,0.3694101120137312,0.0,0.9727429643404076,0.2384262185341115,review_anchor
168,83,1,0.03026690447562933,0.03026690447562933,0.029217382714197427,0.0010495217614319013,0.6428571428571429,0.5,-0.08922114073898302,-0.11941425165462712,0.0,0.005405405405405406,0.01015228426395939,1.0,low,,,,,,,,,1.035921142276783,0.0516502470773691,0.36401718278699685,0.060962407743263405,0.9607732499879093,0.2381350602144903,1,1,0,0,review,C120,1.0,low,-2.3810779954382255,1.0,0.0,0.005405405405405406,0.01015228426395939,0.1346102358150551,0.1682762839343548,0.30639548838467645,-0.2053180372111499,-0.16056724384546905,0.2381350602144903,0.31167243462630506,0.0,0.9607732499879093,0.2381350602144903,review_anchor
169,2,8,0.018058388833804742,0.08674269235394638,0.012591134384957434,0.00546725444884731,0.5174911313802806,0.3699700342465754,0.03513320350520027,-0.008200502439923305,0.005434782608695652,0.004811031000083109,0.01387059884379187,1.0,low,,,,,,,,,1.434214605427372,0.03081650605651586,0.37407520557517954,0.07628350156989049,0.9830953619042898,0.2381154005995673,1,1,0,0,review,C121,1.0,low,-1.9556770705226436,1.0,0.005434782608695652,0.004811031000083109,0.01387059884379187,0.12000823808052724,0.19788283564766476,0.22631461060457064,-0.17756682510502186,-0.05398311235703401,0.2381154005995673,0.23021235087532838,0.0,0.9830953619042898,0.2381154005995673,review_anchor
170,113,1,0.029948590846559812,0.029948590846559812,0.028862631029114887,0.0010859598174449252,0.6428571428571429,0.55,0.03956874428461851,-0.026518331778721746,0.0,0.016216216216216217,0.01015228426395939,1.0,high,,,,,,,,,1.0376251151999787,0.05110704723997665,0.36410014271772784,0.061034144891607314,0.9612495334320228,0.23800464403283275,1,1,0,0,review,C122,1.0,high,2.2626025555492846,1.0,0.0,0.016216216216216217,0.01015228426395939,0.07390587992997631,0.1467722976296304,0.1931591823743495,0.0834703680681803,-0.258340789171017,0.23800464403283275,0.19648589787802778,0.0,0.9612495334320228,0.23800464403283275,review_anchor
171,76,6,0.02230510460743529,0.06343508471266492,0.018072167000827415,0.004232937606607877,0.7369411690405605,0.4479166666666667,-0.374723417109507,-0.16632169232549118,0.045197606746795384,0.014996995600923794,0.010425360050051083,1.0,low,,,,,,,,,1.2342241307538866,0.03806349489714845,0.3712649887047819,0.06893231284029962,0.975736622816193,0.23796501941997317,1,1,0,0,review,C123,1.0,low,-2.3843458726409623,1.0,0.045197606746795384,0.014996995600923794,0.010425360050051083,0.17723200494284833,0.2237358056909595,0.3500229691049493,-0.20660995963870357,0.054347402426701885,0.23796501941997317,0.3560512967446275,0.0,0.975736622816193,0.23796501941997317,review_anchor
172,271,8,0.022734323684678082,0.07176602763789894,0.01891112831613054,0.003823195368547543,0.5539432183418095,0.33321917808219176,0.23022501213770502,0.12145673030632262,0.0,0.009403363255024413,0.010379472671926602,1.0,high,,,,,,,,,1.2021664336805586,0.03879595405588935,0.3703321127117569,0.0676930479280583,0.9746102479417859,0.23761764981567304,1,1,0,0,review,C124,1.0,high,1.7122242682323177,1.0,0.0,0.009403363255024413,0.010379472671926602,0.10677582123365256,0.17772662967383626,0.18978834174640108,0.08065037853837964,0.14331444693866158,0.23761764981567304,0.19305700239791246,0.0,0.9746102479417859,0.23761764981567304,review_anchor
173,323,1,0.04655095852997059,0.04655095852997059,0.05564047253289659,-0.009089514002926,0.5,0.5375,0.04394453587932346,0.1477655412110922,0.0,0.010810810810810811,0.01015228426395939,1.0,low,,,,,,,,,0.8366384469946412,0.07943886404694349,0.3409332481119512,0.05212938546960455,0.9252980690312839,0.23701120404941206,1,0,0,0,false_positive_risk,,,low,-1.0747948070737154,1.0,0.0,0.010810810810810811,0.01015228426395939,0.10775409329626197,0.09388069239908811,0.2221611852340562,-0.0090410860637258,0.07959983615258814,0.23701120404941206,0.22598739245935567,0.0,0.9252980690312839,0.23701120404941206,review_anchor
174,344,8,0.027495170538014486,0.06499639362706183,0.02614656056754771,0.0013486099704667766,0.6189944145978078,0.4163313356164383,-0.2485969556696271,-0.23637191057660065,0.04563259084339537,0.023114716172286193,0.010379472671926602,1.0,low,,,,,,,,,1.0515788670170496,0.046920303755090875,0.3646981284745254,0.0616193497882561,0.9648960824077921,0.23699103824282441,1,1,0,0,review,C125,1.0,low,-1.5034326881613196,1.0,0.04563259084339537,0.023114716172286193,0.010379472671926602,0.11569354340438678,0.14745097033959018,0.19051897937410311,-0.04089978171060205,-0.3441795475228451,0.23699103824282441,0.19380022355125262,0.0,0.9648960824077921,0.23699103824282441,review_anchor
