artifact_key,feature_set,category,model,balance_method,feature,group,n,non_null_n,missing_rate,mean,median,std,p01,p05,p25,p50,p75,p95,p99,group_source,threshold
RFERF_LR_class_weight,RFERF,supervised,LR,class_weight,0,TP,48,48,0.0,-0.22990530121340105,-0.3399920611207359,0.993940520117663,-1.8083667528225795,-1.6057036762493018,-0.9777061341218639,-0.3399920611207359,0.3728983307623277,1.8539752510802257,2.2785315933515156,train_oof,0.3472293893676648
RFERF_LR_class_weight,RFERF,supervised,LR,class_weight,0,FP,181,181,0.0,-0.061824856847232205,-0.0646458634226751,0.9910980540256641,-2.1977981029231453,-1.5936647877217385,-0.7249161688091545,-0.0646458634226751,0.4630898930960481,1.8691840243365003,2.5530249252215103,train_oof,0.3472293893676648
RFERF_LR_class_weight,RFERF,supervised,LR,class_weight,0,TN,989,989,0.0,0.020219802876309326,-0.0258064336940608,0.9829119419662509,-2.271777206393855,-1.4673498863637926,-0.5787677992117805,-0.0258064336940608,0.6022978834979247,1.5108736014861814,2.8250984671912374,train_oof,0.3472293893676648
RFERF_LR_class_weight,RFERF,supervised,LR,class_weight,0,FN,35,35,0.0,0.03293510538690283,-0.348133659792372,1.4025423661837464,-2.0628290825837428,-1.5928773216207135,-0.9026966512782806,-0.348133659792372,0.6694994397465797,2.8802371105228,3.265195920107196,train_oof,0.3472293893676648
RFERF_LR_class_weight,RFERF,supervised,LR,class_weight,0,pred_anomaly,229,229,0.0,-0.09705569234756453,-0.1405896280810354,0.9918826470776834,-2.1700312473879513,-1.6020733240547391,-0.7704290400718953,-0.1405896280810354,0.4442707879698133,1.9924291425887466,2.535588557181146,train_oof,0.3472293893676648
RFERF_LR_class_weight,RFERF,supervised,LR,class_weight,0,pred_normal,1024,1024,0.0,0.020654407942589388,-0.03775189404014695,0.9992226760867605,-2.2405922141048817,-1.4723950081635926,-0.5888113287206416,-0.03775189404014695,0.6041664471274799,1.6158668571425918,2.9205286811292406,train_oof,0.3472293893676648
RFERF_LR_class_weight,RFERF,supervised,LR,class_weight,2,TP,48,48,0.0,0.019499122373047018,-0.04537665631282049,1.066173866316665,-1.7119115267902851,-1.2685428194941275,-0.9424083213845704,-0.04537665631282049,0.7949704939794463,1.4703259986378985,2.6023929525705607,train_oof,0.3472293893676648
RFERF_LR_class_weight,RFERF,supervised,LR,class_weight,2,FP,181,181,0.0,0.022905592080295186,-0.1095710732053563,0.9676567550328348,-1.862942238211374,-1.2954784589568804,-0.6689240568181579,-0.1095710732053563,0.6517544392189674,1.6856224165408085,2.336499069644044,train_oof,0.3472293893676648
RFERF_LR_class_weight,RFERF,supervised,LR,class_weight,2,TN,989,989,0.0,-0.0021399979208966816,0.0634936960833912,1.0014331514550026,-2.5553411916221265,-1.5259769594433232,-0.610361855344569,0.0634936960833912,0.5875600223264316,1.5114339070910894,2.241971777173737,train_oof,0.3472293893676648
RFERF_LR_class_weight,RFERF,supervised,LR,class_weight,2,FN,35,35,0.0,-0.06925128395233486,-0.1482363840957742,1.0128708363227132,-1.4404226949931782,-1.2426596306030597,-0.7548938956513334,-0.1482363840957742,0.27953831680845453,1.6037836573673359,3.184528264446238,train_oof,0.3472293893676648
RFERF_LR_class_weight,RFERF,supervised,LR,class_weight,2,pred_anomaly,229,229,0.0,0.022191572228994254,-0.1095710732053563,0.9866906476001575,-1.996269852566799,-1.2954784589568804,-0.7229825131487088,-0.1095710732053563,0.7253313769383629,1.6706063288335875,2.6477565792118383,train_oof,0.3472293893676648
RFERF_LR_class_weight,RFERF,supervised,LR,class_weight,2,pred_normal,1024,1024,0.0,-0.004433840705174351,0.0469720803673646,1.0014003075345368,-2.5553411916221265,-1.515090937799756,-0.6278185134224321,0.0469720803673646,0.5856814909689401,1.5147188029765501,2.241971777173737,train_oof,0.3472293893676648
