feature,n_models,n_drop,n_false_positive_risk,n_monitor_first,n_review,recommendation_consistency_score
490,6,6,0,0,0,1.0
496,1,1,0,0,0,1.0
497,1,1,0,0,0,1.0
499,1,1,0,0,0,1.0
500,1,1,0,0,0,1.0
51,3,3,0,0,0,1.0
510,10,5,0,2,3,0.5
511,5,3,0,0,2,0.6
521,1,1,0,0,0,1.0
522,1,1,0,0,0,1.0
523,1,1,0,0,0,1.0
525,6,6,0,0,0,1.0
53,1,1,0,0,0,1.0
542,1,1,0,0,0,1.0
544,1,1,0,0,0,1.0
545,5,4,0,0,1,0.8
546,1,1,0,0,0,1.0
547,3,3,0,0,0,1.0
548,1,1,0,0,0,1.0
55,8,8,0,0,0,1.0
551,10,8,0,1,1,0.8
552,6,6,0,0,0,1.0
553,5,5,0,0,0,1.0
555,1,1,0,0,0,1.0
558,1,1,0,0,0,1.0
56,10,7,0,0,3,0.7
560,1,1,0,0,0,1.0
561,3,3,0,0,0,1.0
562,3,1,0,0,2,0.6666666666666666
563,8,8,0,0,0,1.0
566,3,3,0,0,0,1.0
567,1,1,0,0,0,1.0
57,6,6,0,0,0,1.0
570,1,1,0,0,0,1.0
571,6,6,0,0,0,1.0
574,3,3,0,0,0,1.0
577,1,1,0,0,0,1.0
58,8,8,0,0,0,1.0
582,10,6,0,0,4,0.6
585,1,1,0,0,0,1.0
586,8,8,0,0,0,1.0
588,3,1,0,0,2,0.6666666666666666
589,3,3,0,0,0,1.0
59,10,0,4,4,2,0.4
6,1,1,0,0,0,1.0
60,1,1,0,0,0,1.0
61,1,1,0,0,0,1.0
62,1,1,0,0,0,1.0
63,10,8,0,0,2,0.8
64,10,2,0,5,3,0.5
65,8,3,0,2,3,0.375
66,1,1,0,0,0,1.0
67,8,8,0,0,0,1.0
68,3,3,0,0,0,1.0
7,1,1,0,0,0,1.0
70,3,1,0,0,2,0.6666666666666666
71,3,3,0,0,0,1.0
75,8,8,0,0,0,1.0
76,6,6,0,0,0,1.0
77,3,3,0,0,0,1.0
78,1,1,0,0,0,1.0
79,10,8,0,0,2,0.8
8,8,8,0,0,0,1.0
80,1,1,0,0,0,1.0
81,8,8,0,0,0,1.0
82,1,1,0,0,0,1.0
83,1,1,0,0,0,1.0
84,3,3,0,0,0,1.0
86,1,1,0,0,0,1.0
87,1,1,0,0,0,1.0
88,8,8,0,0,0,1.0
89,1,1,0,0,0,1.0
9,8,8,0,0,0,1.0
90,8,8,0,0,0,1.0
91,8,8,0,0,0,1.0
92,8,8,0,0,0,1.0
95,3,1,0,0,2,0.6666666666666666
96,1,1,0,0,0,1.0
98,3,3,0,0,0,1.0
NA_109,1,1,0,0,0,1.0
NA_112,3,1,0,0,2,0.6666666666666666
NA_157,1,1,0,0,0,1.0
NA_578,1,1,0,0,0,1.0
NA_72,3,1,0,0,2,0.6666666666666666
NA_85,1,1,0,0,0,1.0
