feature,resolved_train_feature,resolved_monitor_feature,baseline_missing_rate,monitor_missing_rate,n_monitor_rows,n_pchart_alarm,n_gchart_alarm,list_category,list_subtype,export_rank,n_models,mean_pos_mean,mean_neg_mean,mean_pos_median,mean_neg_median,mean_mean_gap,mean_median_gap,mean_p95_gap,mean_ks_stat,max_ks_stat,mean_wasserstein_distance,mean_distribution_sep_score
425.0,425,425,0.0023942537909018356,0.0,314,0,0,auxiliary_diagnostic,distribution_separation,1,6,1.1794655575560162,0.5411750237141673,0.3886307883495473,-0.2459086058695826,0.638290533841849,0.6345393942191299,7.0191968358845545,0.3734763529985374,0.3734763529985373,1.6763647275519744,0.9210337013089306
468.0,468,468,0.00558659217877095,0.0,314,0,0,auxiliary_diagnostic,distribution_separation,2,6,-0.5716833584173692,-0.0598368479129819,-0.8389393572548239,-0.330687118611222,-0.5118465105043872,-0.5082522386436019,-2.0091019276986017,0.4103689257272875,0.4103689257272875,0.5118465105043869,0.70796740845411
434.0,434,434,0.0007980845969672786,0.0031847133757961785,314,1,0,auxiliary_diagnostic,distribution_separation,3,3,0.236143960289754,0.0206281298091964,-0.0212247543784778,-0.1284687468006051,0.2155158304805576,0.1072439924221273,0.1298934630898842,0.4755403868031854,0.4755403868031854,0.2548088687844284,0.6680762492768558
107.0,107,107,0.0039904229848363925,0.0031847133757961785,314,0,0,auxiliary_diagnostic,distribution_separation,4,8,0.4326323147138828,-0.1018581182254424,0.3589299971722394,-0.0641062642274988,0.5344904329393252,0.4230362613997381,0.7158901639580635,0.3351210791483829,0.3351210791483829,0.53894891749633,0.6468338146378864
59.0,59,59,0.00558659217877095,0.0,314,0,0,auxiliary_diagnostic,distribution_separation,5,10,0.3640239700965421,-0.1217813759808496,0.2391675659881778,-0.2941320057239833,0.4858053460773918,0.5332995717121611,0.2758552930392424,0.3396717048594181,0.3396717048594181,0.5333456662285798,0.6425250033196085
298.0,298,298,0.0007980845969672786,0.0031847133757961785,314,1,0,auxiliary_diagnostic,distribution_separation,6,3,0.5261539773682717,0.0470127291792849,0.2887385854983805,-0.1665786043890823,0.4791412481889868,0.4553171898874628,0.396125955202093,0.3801397692182675,0.3801397692182675,0.4821493164108181,0.6186018600327196
349.0,349,349,0.014365522745411013,0.01910828025477707,314,0,0,auxiliary_diagnostic,distribution_separation,7,3,0.6007641894073403,-0.1538167968678334,-0.3018554016368603,-0.1774149824848722,0.7545809862751738,-0.1244404191519881,5.174746705217206,0.2034779782220055,0.2034779782220055,0.8585912889311224,0.6087465488378977
58.0,58,58,0.0023942537909018356,0.0031847133757961785,314,1,0,auxiliary_diagnostic,distribution_separation,8,8,0.5104888346913325,0.0323792802011641,0.6530684920952008,-0.1243782686660967,0.4781095544901684,0.7774467607612975,-0.0209993207003815,0.3219567690557451,0.3219567690557451,0.4935061496550555,0.6085194812327577
90.0,90,90,0.03112529928172386,0.03821656050955414,314,1,0,auxiliary_diagnostic,distribution_separation,9,8,-0.2501014982675218,0.1491887246884737,-0.2967857768938453,0.1222802664488866,-0.3992902229559956,-0.4190660433427319,-0.9597359252997266,0.3284576629286527,0.3284576629286527,0.449903403646583,0.6079274765511073
316.0,316,316,0.0007980845969672786,0.0,314,0,0,auxiliary_diagnostic,distribution_separation,10,10,-0.4746518375549644,0.0839326672296859,-0.6575707333581139,-0.0613662719698857,-0.5585845047846504,-0.5962044613882282,-1.072635352786781,0.3086299366162847,0.3086299366162847,0.5680621222591242,0.5980368029612896
