feature,anova_score,p_value,selected
103,45.68626604368951,2.1229411235882342e-11,True
59,31.95956899482738,1.948144884485439e-08,True
510,30.3681545268466,4.3350775938206263e-08,True
348,25.464774620158398,5.17087962271066e-07,True
434,20.657794956639187,6.022890495554333e-06,True
249,18.817616484120745,1.5540541825552805e-05,True
129,16.36962416923871,5.530613159655066e-05,True
28,15.962599580276926,6.837528473051202e-05,True
21,15.388600219263404,9.227091851681832e-05,True
64,14.624810267782914,0.00013763949315473352,True
298,13.955014805978433,0.0001956700732697909,True
125,12.905377757815371,0.00034035192834121105,True
165,12.90042073578008,0.00034124522141380765,True
122,12.784865038365734,0.00036275382325948527,True
159,11.972132511847605,0.0005581988680520614,True
26,11.599216896517374,0.0006807203904393301,True
100,11.24655457051776,0.000821582205949322,True
295,10.259069343236575,0.0013944263775974978,True
130,10.224003216524888,0.0014209661570393083,True
79,9.814880416473244,0.0017712461044555982,True
124,9.70787882729891,0.0018765401251437182,True
22,9.608444887914697,0.0019800797508640997,True
33,9.310260709542355,0.002326729848161569,True
14,8.113143090425345,0.004466470875405294,True
NA_72,8.056464930941763,0.004607425642474348,True
377,7.701423647717985,0.005599890702722804,True
95,7.65546311306302,0.005743439244208804,True
316,7.530209606314076,0.006154030504634114,True
65,7.037252076810885,0.00808418337242397,True
452,6.684504897636399,0.009837726758080447,True
NA_112,6.523914858163879,0.01076100641625507,True
63,6.473818477139673,0.011066880859444963,True
437,5.9731593617776335,0.014662586858188198,True
582,5.799093394626738,0.016178376599433136,True
133,5.277354549105884,0.021769040778911737,True
551,5.274811472286297,0.02180072444448265,True
511,5.187473580768832,0.022918393060486382,True
200,5.1018459627912796,0.024072004091374177,True
471,4.947667140280215,0.026303807348215434,True
553,4.814567529224083,0.028403514318834533,True
70,4.709385123878865,0.03018604999027744,True
56,4.616424212664429,0.031858657415362465,True
337,4.585079813448008,0.032444216382367934,True
477,4.185642834223647,0.04097649100264059,True
545,4.1767793712076156,0.04119059617664307,True
32,4.015307268963381,0.045304301876495326,True
38,4.013784506954591,0.045345095246990264,True
123,4.008110394878166,0.04549744085403548,True
562,3.996334261623306,0.04581534670877411,True
16,3.931998867930037,0.04759401558673734,True
467,3.869867007308235,0.049381113098005906,False
547,3.8590986253961814,0.04969799020588276,False
416,3.806190490450931,0.051286456812286274,False
333,3.7975296350552386,0.051551560746697866,False
423,3.7036594103814244,0.0545198598841087,False
80,3.677695037104391,0.055372514684461825,False
144,3.6113327622220988,0.057616824109173084,False
281,3.599013316542585,0.05804399358561905,False
76,3.4961814449847473,0.061743929607192986,False
107,3.4421723004475635,0.06378717473755928,False
102,3.438744066465868,0.06391928262253803,False
280,3.2498683928814422,0.07166977541625943,False
488,3.15920846843186,0.07574268292020349,False
66,3.1390199002751094,0.07668312057733719,False
282,3.1349787887056038,0.07687287202951387,False
57,3.1205300173259083,0.07755546509319206,False
542,3.012136589267408,0.08288953205657665,False
31,2.9531366328396964,0.08595847503143456,False
460,2.8967579399897905,0.08900635936212574,False
484,2.8941326065157713,0.08915111539201692,False
137,2.8774283905358113,0.09007816368206545,False
25,2.8475609847875893,0.09176195277096948,False
441,2.725966254101606,0.09897934559238472,False
68,2.7220843941522057,0.09921973420079186,False
40,2.7060114951655,0.1002218801978592,False
213,2.517965538359995,0.11280842325460749,False
486,2.514079364063452,0.11308623685356238,False
334,2.468639273849217,0.11639130008366796,False
67,2.465823226744951,0.1165996079462908,False
115,2.4335714688920156,0.11901496682824646,False
58,2.4201887606215924,0.12003342771433655,False
30,2.4114943825638155,0.12070026823653202,False
104,2.4078001374740037,0.12098485163544768,False
558,2.3077074244864964,0.12898647189685794,False
78,2.302081898101462,0.1294533682985334,False
90,2.203976640383922,0.13790713442700914,False
128,2.1214116856407643,0.14550353577589165,False
310,2.1188836873139953,0.14574344935822772,False
3,2.0568766489185157,0.1517703756383704,False
577,2.0469437891075106,0.1527618057350161,False
222,2.018089675513094,0.15568376654763605,False
288,2.002017335635274,0.1573388727228382,False
