n_features,mean_score,std_score
1,0.11742765313011645,0.02952236413449821
2,0.12033957876527775,0.020546918573776267
3,0.11476423107798432,0.01592953255032879
4,0.16179560656674385,0.03292771699727213
5,0.1548413639093637,0.03966077840957618
6,0.19128031298906206,0.06585116119023506
7,0.17502270796795014,0.04938942511159338
8,0.1869156061186833,0.05222624390784866
9,0.1879021751837387,0.04887140898779235
10,0.19028612272296308,0.04740436759695418
11,0.20421445191163956,0.053983863169034765
12,0.2039226154213405,0.07582800074535093
13,0.20023470896346934,0.060530153503256114
14,0.22587342034523958,0.06448456266059473
15,0.2037493179043981,0.07787351232679812
16,0.21617474356172153,0.057383676230407396
17,0.2133066415534258,0.06070480841912535
18,0.22658674679750185,0.0644847984408504
19,0.21458000226676402,0.0678054470974157
20,0.22833567570853766,0.06297729037039435
21,0.20610034995730486,0.05575835910575338
22,0.21880938966428332,0.05277803828389994
23,0.2146222236688208,0.053302841193435736
24,0.21149443859974887,0.051783921282217225
25,0.20012526635407485,0.06289623666890258
26,0.1960499969394288,0.057443712833731196
27,0.20534505361822425,0.05806023640330333
28,0.19376780662317183,0.05369797518498528
29,0.19935178544580956,0.07711814366891702
30,0.20716873309929462,0.07499930400229894
31,0.21160305608695765,0.07446476521734557
32,0.20924658316180303,0.06769636255736011
33,0.21826638072618804,0.06282882306216571
34,0.19646497877168784,0.06606416964613405
35,0.2170220252257967,0.07812143147524403
36,0.22269749344355896,0.05708379197921435
37,0.23199914725716103,0.05844309405657411
38,0.21880871318721667,0.07394390091769856
39,0.21360295795306286,0.06067544778982919
40,0.22362730527395205,0.07544231772788859
41,0.22852674811702536,0.05396607534280637
42,0.2158694285907095,0.06417303003349936
43,0.20975173248140955,0.06700947281250942
44,0.21994108386933736,0.0579096334409578
45,0.21994965943923095,0.06070072261458504
46,0.23602499074234293,0.07895514045153483
47,0.22473479289525686,0.05295024861404243
48,0.21969748973814734,0.05862167106717043
49,0.22024831218143887,0.06134582084625519
50,0.20521967704216268,0.05049764851253107
51,0.2183993299368801,0.05714926270533512
52,0.21514191883117526,0.05295114275013524
53,0.20499252161919435,0.051168481947201076
54,0.224600335335978,0.05222804525187437
55,0.2111590159546659,0.05469387256797984
56,0.21018777938665584,0.06087593319300504
57,0.22932554911594996,0.08503573582749793
58,0.24171796605791435,0.07631108785484805
59,0.22153602812492731,0.06895781734642942
60,0.2245968387380318,0.04054155180838456
61,0.2238082275829702,0.0627412783404113
