n_features,mean_score,std_score
1,0.11411801721730788,0.03861568437440278
2,0.13567734497298534,0.05082754725399536
3,0.14038683322624176,0.03494249224947204
4,0.18738809307918874,0.09088425638580003
5,0.1800124712546454,0.0704613180004459
6,0.19638967872604868,0.07767457151332685
7,0.21376001992790844,0.08474908389763834
8,0.1929242291812842,0.07851153084209384
9,0.1988012332798544,0.05782157919587351
10,0.19387561254813218,0.05015515287933829
11,0.21880567571485035,0.05306335138109462
12,0.22252631177707344,0.0607767556136462
13,0.2184907115949654,0.05227564960101493
14,0.21061529746752647,0.058684628249285095
15,0.214061570350069,0.052420877349215
16,0.2019415510328169,0.046545504544660034
17,0.21677750653866928,0.06521835958893431
18,0.21295133846448983,0.04965477496230383
19,0.21093228976670927,0.04091454015146026
20,0.20488249877369444,0.04052199290187791
21,0.21296098758030996,0.0442111092163395
22,0.23025850619848268,0.05617277022342943
23,0.21076863277116745,0.04206064673622125
24,0.22478194261327378,0.06408476724619874
25,0.20927815657817325,0.0673547061469381
26,0.20076531028240377,0.06267709248730695
27,0.2061447285315566,0.06612672504143376
28,0.20009390778184422,0.05154231104562901
29,0.21011164728033993,0.05326476909581666
30,0.19697190208186885,0.02970533859239242
31,0.2124411908465585,0.05097398459640069
32,0.22385836420468053,0.06706962159516597
33,0.23085850791514187,0.059300954367664464
34,0.23395746944120327,0.06213429765811891
35,0.22836487125941168,0.0737700502540865
36,0.22521826571147652,0.06387200824297917
37,0.23767422516318754,0.07711654613013713
38,0.2297401698318675,0.0594028928407963
39,0.2148566773267973,0.05232210227626413
40,0.22185290763370902,0.0542137503517208
41,0.22714087285810897,0.07520861164525258
42,0.22530390584038457,0.059332903570081766
43,0.24301598228896165,0.06967289834875337
44,0.23512338814751477,0.063484437944382
45,0.2387599559700348,0.06909858541371423
46,0.22738105978375972,0.057206850776152986
47,0.2277860340680758,0.07104208599701407
48,0.2426869660903462,0.0693490292561693
49,0.2309901491974781,0.043810892136155855
50,0.24164351195993375,0.07368415419784152
51,0.2521145291310769,0.08749494691567049
52,0.2539289305953989,0.07426791905846553
53,0.25866372529943343,0.08421324992551645
54,0.23866668057286464,0.08564811294696026
55,0.262207832767304,0.08296801611966297
56,0.24932971627164474,0.08105845036841455
57,0.2561552787889091,0.09338748166629944
58,0.25869143965104724,0.0870027093518622
59,0.24577277634339803,0.09132800822798467
60,0.25832995535517256,0.08663523241961375
61,0.2630952675567352,0.07638952771655688
62,0.2617417243448648,0.09174772612470374
63,0.2696433754473571,0.0786703547223264
64,0.25796645375056615,0.09109406302288516
65,0.25248096415878063,0.08442301562141753
66,0.2532050096324258,0.08945700718853551
67,0.2627988633440439,0.0850769676795409
68,0.25950862380751655,0.07579618549029321
69,0.24136309247566984,0.07476308563929002
