Rank,Feature Set,Category,Model,Balance Method,CV AP,PR curve/AP,Balanced Accuracy,Recall,Specificity,MCC,F1 Score,Type I Error,Type II Error,True Negative (TN),True Positive (TP),Type 1 Cost,Type 2 Cost,Overall Cost
30,ANOVA,supervised,LR,class_weight,0.22088417632474347,0.12857370747239152,0.5338046481391191,0.19047619047619047,0.8771331058020477,0.05065759831945425,0.13114754098360656,36,17,257,4,36.0,170.0,206.0
31,RFEXGB,supervised,XGB,SMOTE,0.29755842582090597,0.16531506801951562,0.5339671704859419,0.09523809523809523,0.9726962457337884,0.09664870347621844,0.12903225806451613,8,19,285,2,8.0,190.0,198.0
32,ANOVA,supervised,LR,SMOTE,0.20855222100619467,0.14136515471876412,0.5321794246708923,0.14285714285714285,0.9215017064846417,0.05834032048280743,0.1276595744680851,23,18,270,3,23.0,180.0,203.0
33,RFEXGB,supervised,HistGB,class_weight,0.2809210545901123,0.13025456539545435,0.5288477165610271,0.09523809523809523,0.962457337883959,0.07234857333751472,0.11764705882352941,11,19,282,2,11.0,190.0,201.0
34,RFEXGB,supervised,XGB,class_weight,0.29168631193321637,0.11891304474460007,0.5288477165610271,0.09523809523809523,0.962457337883959,0.07234857333751472,0.11764705882352941,11,19,282,2,11.0,190.0,201.0
35,RFEXGB,supervised,LR,ROSE,0.22366917715512366,0.20323044687350655,0.5237282626361124,0.09523809523809523,0.9522184300341296,0.053910240657149375,0.10810810810810811,14,19,279,2,14.0,190.0,204.0
36,RFEXGB,supervised,HistGB,ROSE,0.2715431839177965,0.14834842266442097,0.5169835852429709,0.047619047619047616,0.9863481228668942,0.06778577826977226,0.07692307692307693,4,20,289,1,4.0,200.0,204.0
37,RFEXGB,supervised,XGB,NoResample,0.280555642148763,0.17994374087432097,0.5152771006013327,0.047619047619047616,0.9829351535836177,0.055752379572326594,0.07407407407407407,5,20,288,1,5.0,200.0,205.0
38,RFEXGB,supervised,HistGB,NoResample,0.2966925008373848,0.13593772937433313,0.5135706159596944,0.047619047619047616,0.9795221843003413,0.045925596505613724,0.07142857142857142,6,20,287,1,6.0,200.0,206.0
39,RFEXGB,supervised,XGB,ROSE,0.2768882710116606,0.12460525169898751,0.4863481228668942,0.0,0.9726962457337884,-0.04328726206963326,0.0,8,21,285,0,8.0,210.0,218.0
