time_index,PCA_SPE,PCA_SPE_CL,PCA_SPE_UCL,PCA_SPE_beyond_UCL
0,0.5051682822148311,0.28440524484019153,2.520624977200375,0
1,0.07322371539033865,0.28440524484019153,2.520624977200375,0
2,0.0044897743638033566,0.28440524484019153,2.520624977200375,0
3,0.1479497915630354,0.28440524484019153,2.520624977200375,0
4,0.006064005298363511,0.28440524484019153,2.520624977200375,0
5,1.3597591910522482,0.28440524484019153,2.520624977200375,0
6,0.720766164429919,0.28440524484019153,2.520624977200375,0
7,0.125348669971514,0.28440524484019153,2.520624977200375,0
8,0.17377817360896025,0.28440524484019153,2.520624977200375,0
9,0.5864998697183467,0.28440524484019153,2.520624977200375,0
10,0.14358989193199673,0.28440524484019153,2.520624977200375,0
11,0.3444679011619414,0.28440524484019153,2.520624977200375,0
12,0.12736596443828765,0.28440524484019153,2.520624977200375,0
13,0.0003098705244811225,0.28440524484019153,2.520624977200375,0
14,0.039359351891590934,0.28440524484019153,2.520624977200375,0
15,0.005759889609350847,0.28440524484019153,2.520624977200375,0
16,0.00033777812619657067,0.28440524484019153,2.520624977200375,0
17,0.04725206072547412,0.28440524484019153,2.520624977200375,0
18,0.009256720393851251,0.28440524484019153,2.520624977200375,0
19,0.1365160714414147,0.28440524484019153,2.520624977200375,0
20,0.22893286598768228,0.28440524484019153,2.520624977200375,0
21,0.044686579027652384,0.28440524484019153,2.520624977200375,0
22,1.300468978957166,0.28440524484019153,2.520624977200375,0
23,0.05873055759360618,0.28440524484019153,2.520624977200375,0
24,0.8246695617784452,0.28440524484019153,2.520624977200375,0
25,0.028777888989720207,0.28440524484019153,2.520624977200375,0
26,0.04594744133465571,0.28440524484019153,2.520624977200375,0
27,0.0013702772193720104,0.28440524484019153,2.520624977200375,0
28,0.14382516562073477,0.28440524484019153,2.520624977200375,0
29,0.2797024416329684,0.28440524484019153,2.520624977200375,0
30,0.04120697287554652,0.28440524484019153,2.520624977200375,0
31,0.03284487442503814,0.28440524484019153,2.520624977200375,0
32,0.20125749639860863,0.28440524484019153,2.520624977200375,0
33,0.03777520601462892,0.28440524484019153,2.520624977200375,0
34,0.03533425855693348,0.28440524484019153,2.520624977200375,0
35,0.11302556428800298,0.28440524484019153,2.520624977200375,0
36,0.8749387348189287,0.28440524484019153,2.520624977200375,0
37,0.05093562519859205,0.28440524484019153,2.520624977200375,0
38,0.7108530125330295,0.28440524484019153,2.520624977200375,0
39,0.03192457721456239,0.28440524484019153,2.520624977200375,0
40,0.06044067181280301,0.28440524484019153,2.520624977200375,0
41,0.44692874408448835,0.28440524484019153,2.520624977200375,0
42,0.000276869052172431,0.28440524484019153,2.520624977200375,0
43,0.5768482156350564,0.28440524484019153,2.520624977200375,0
44,0.00010485058113710842,0.28440524484019153,2.520624977200375,0
45,0.009024629147166903,0.28440524484019153,2.520624977200375,0
46,0.06063770176015089,0.28440524484019153,2.520624977200375,0
47,0.04055103754450914,0.28440524484019153,2.520624977200375,0
48,0.0034944290211336416,0.28440524484019153,2.520624977200375,0
49,0.09310482844678117,0.28440524484019153,2.520624977200375,0
50,0.05772133672995848,0.28440524484019153,2.520624977200375,0
51,0.010191881796270062,0.28440524484019153,2.520624977200375,0
52,0.007343488750650494,0.28440524484019153,2.520624977200375,0
53,0.027941389819337126,0.28440524484019153,2.520624977200375,0
54,0.056899924072071645,0.28440524484019153,2.520624977200375,0
55,0.09982272164905719,0.28440524484019153,2.520624977200375,0
56,0.0732269887309985,0.28440524484019153,2.520624977200375,0
57,0.011116211749609643,0.28440524484019153,2.520624977200375,0
58,0.101395336663171,0.28440524484019153,2.520624977200375,0
59,0.08376650985291759,0.28440524484019153,2.520624977200375,0
60,0.000615085896681639,0.28440524484019153,2.520624977200375,0
61,0.006985510435548721,0.28440524484019153,2.520624977200375,0
62,0.045790702341662576,0.28440524484019153,2.520624977200375,0
63,0.0079859476619047,0.28440524484019153,2.520624977200375,0
64,0.037316998170646834,0.28440524484019153,2.520624977200375,0
65,0.0020052312493074364,0.28440524484019153,2.520624977200375,0
66,0.09198508231144725,0.28440524484019153,2.520624977200375,0
67,0.6024512683752117,0.28440524484019153,2.520624977200375,0
68,0.6121332371498063,0.28440524484019153,2.520624977200375,0
69,0.013388055881713731,0.28440524484019153,2.520624977200375,0
70,0.183114911913055,0.28440524484019153,2.520624977200375,0
71,0.06722546733361517,0.28440524484019153,2.520624977200375,0
72,2.0372495377542283,0.28440524484019153,2.520624977200375,0
73,0.38091623005869785,0.28440524484019153,2.520624977200375,0
74,0.008933181605499135,0.28440524484019153,2.520624977200375,0
75,0.006839308929197532,0.28440524484019153,2.520624977200375,0
76,0.1413927994832303,0.28440524484019153,2.520624977200375,0
77,0.030628491437214484,0.28440524484019153,2.520624977200375,0
78,0.9363159101634848,0.28440524484019153,2.520624977200375,0
79,0.01098736494422804,0.28440524484019153,2.520624977200375,0
80,0.05388523713781064,0.28440524484019153,2.520624977200375,0
81,0.004994731465317304,0.28440524484019153,2.520624977200375,0
82,0.062437747100129115,0.28440524484019153,2.520624977200375,0
83,0.24943376368143652,0.28440524484019153,2.520624977200375,0
84,0.05127451592614193,0.28440524484019153,2.520624977200375,0
85,0.27177440432016803,0.28440524484019153,2.520624977200375,0
86,0.03768127117508482,0.28440524484019153,2.520624977200375,0
87,0.7840097107234385,0.28440524484019153,2.520624977200375,0
88,0.5045964068321341,0.28440524484019153,2.520624977200375,0
89,0.20266442184254813,0.28440524484019153,2.520624977200375,0
90,0.19424558210378295,0.28440524484019153,2.520624977200375,0
91,0.006280329919760263,0.28440524484019153,2.520624977200375,0
92,0.05527829328241412,0.28440524484019153,2.520624977200375,0
93,0.015154930348270795,0.28440524484019153,2.520624977200375,0
94,0.14499529047191884,0.28440524484019153,2.520624977200375,0
95,0.30420736893230804,0.28440524484019153,2.520624977200375,0
96,0.042721095580197474,0.28440524484019153,2.520624977200375,0
97,0.014550965557473455,0.28440524484019153,2.520624977200375,0
98,0.048002455284019155,0.28440524484019153,2.520624977200375,0
99,0.015001042960125987,0.28440524484019153,2.520624977200375,0
100,0.06926512979817757,0.28440524484019153,2.520624977200375,0
101,0.024193860111070754,0.28440524484019153,2.520624977200375,0
102,0.1692019887095635,0.28440524484019153,2.520624977200375,0
103,0.1133836165469449,0.28440524484019153,2.520624977200375,0
104,0.06936266096564817,0.28440524484019153,2.520624977200375,0
105,0.026538338711962626,0.28440524484019153,2.520624977200375,0
106,0.11385258114424433,0.28440524484019153,2.520624977200375,0
107,0.07968100792905494,0.28440524484019153,2.520624977200375,0
108,0.2989782908932989,0.28440524484019153,2.520624977200375,0
109,0.031127218532576738,0.28440524484019153,2.520624977200375,0
110,0.19254165379345595,0.28440524484019153,2.520624977200375,0
111,0.05602457948656953,0.28440524484019153,2.520624977200375,0
112,0.023873279150874345,0.28440524484019153,2.520624977200375,0
113,0.18908488939407564,0.28440524484019153,2.520624977200375,0
114,1.42913573289064,0.28440524484019153,2.520624977200375,0
115,0.04381643270015271,0.28440524484019153,2.520624977200375,0
116,0.3895798921453652,0.28440524484019153,2.520624977200375,0
117,0.027509442407704466,0.28440524484019153,2.520624977200375,0
118,1.255918210028207,0.28440524484019153,2.520624977200375,0
119,0.02473812713534051,0.28440524484019153,2.520624977200375,0
120,0.003177681494936871,0.28440524484019153,2.520624977200375,0
121,0.14819772079108473,0.28440524484019153,2.520624977200375,0
122,0.11645753438614752,0.28440524484019153,2.520624977200375,0
123,0.12780856380998432,0.28440524484019153,2.520624977200375,0
124,0.0003928647185514892,0.28440524484019153,2.520624977200375,0
125,1.0941629799774373,0.28440524484019153,2.520624977200375,0
