feature,resolved_train_feature,resolved_monitor_feature,baseline_missing_rate,monitor_missing_rate,n_monitor_rows,n_pchart_alarm,n_gchart_alarm,spc_export_rank,anchor_rank,monitor_tier,source_type,overall_anchor_score,anchor_recommendation,recommendation,dominant_monitor_direction_all,mean_suggested_threshold,mean_tp_mean_positive_shap,mean_fp_mean_positive_shap,mean_tp_fp_shap_gap,appeared_in_topn_models,avg_rank,mean_tp_vs_tn_smd,mean_distribution_sep_score,mean_ks_stat,mean_wasserstein_distance,mean_tp_trigger_rate_all,mean_fp_trigger_rate_all,mean_tn_trigger_rate_all,has_missing_signal,dominant_missing_signal_type,n_corr_companions_095,has_interaction_support,best_pair_precision_lift,top_pair_rule_desc,normal_mean,normal_std,normal_median,normal_p01,normal_p05,normal_p25,normal_p50,normal_p75,normal_p95,normal_p99,normal_missing_rate,validated_anchor_rank,n_models_x,max_tp_mean_positive_shap,mean_tp_positive_push_rate,mean_fp_positive_push_rate,mean_tp_vs_fp_smd,avg_tp_trigger_rate,avg_fp_trigger_rate,avg_tn_trigger_rate,fp_evidence_coverage,dominant_monitor_direction,best_rank,worst_rank,avg_mean_positive_shap,max_mean_positive_shap,appeared_categories,appeared_feature_sets,tp_fp_ratio,score_tp_shap,score_gap,score_ratio,score_fp_penalty,final_candidate_score,tp_signal_available,gap_positive,ratio_pass,tp_fp_priority_candidate,redundancy_cluster_x,cluster_size_x,threshold_defined_rate,mean_median_gap,mean_p95_gap,score_model_signal,score_distribution_sep,score_stability_anchor,score_fp_penalty_anchor,n_models_y,direction_consistent_rate,mean_split_validation_score,validation_pass_rate,mean_smd_retention_score,mean_distribution_retention_score,mean_tp_trigger_retention_score,mean_fp_robustness_score,dominant_train_direction,dominant_test_direction,n_models,n_drop,n_false_positive_risk,n_monitor_first,n_review,recommendation_consistency_score,has_interaction_support_x,validated_anchor_score,split_hard_gate_pass,final_anchor_recommendation,normal_n,anomaly_n,anomaly_mean,anomaly_median,mean_tp_missing_rate,mean_fp_missing_rate,mean_tn_missing_rate,mean_missing_tp_tn_gap,mean_missing_tp_fp_gap,overall_missing_rate,has_interaction_support_y,redundancy_cluster_y,cluster_size_y,spc_selection_tier,spc_export_selected
59,59,59,0.00558659217877095,0.0,314,0,0,9,33,review_anchor,raw_feature,0.7407525668028867,review_anchor,review,high,2.254258073699098,0.6431044116948744,0.4835140269933142,0.2032085874167518,10.0,1.5,1.3337144521876378,0.6425250033196085,0.3396717048594181,0.5333456662285798,0.0501628001628001,0.0672688103375766,0.012631673427609,0,weak,0,0,14.952380952380953,38(high) AND 59(high),-0.0584345600643822,0.9410495249086664,-0.24302518512082,-1.4987250339966498,-0.9300807305897436,-0.5165823930243356,-0.24302518512082,0.0767013532859695,1.985291949467541,2.5497146228776555,0.0,9,10,1.573577137042628,0.6596642246642247,0.5614225435278067,0.3174337846145852,0.0501628001628001,0.0672688103375766,0.012631673427609,0.9,high,1.0,3.0,0.6431044116948744,1.573577137042628,supervised,"ANOVA,Base,RFERF,RFEXGB",1.3300636088966389,1.0,0.9190269061580828,0.1414308679894388,0.1876693209670773,0.7227611775420204,1,1,0,0,C033,1.0,0.9,0.5332995717121611,0.2758552930392424,0.7227611775420204,0.6964443297466849,1.0,0.1876693209670773,9.0,1.0,0.8427037726144622,1.0,0.8774430601886497,0.6588605065115272,0.589385922719256,0.9968928866749236,high,high,10,2,2,3,3,0.3,0,0.7407525668028867,1,review_anchor,1463,104,0.5446359574414248,0.2415173048664841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C033,1.0,Tier_B,1
485,485,485,0.014365522745411013,0.01910828025477707,314,0,0,10,38,review_anchor,raw_feature,0.5882193972259712,review_anchor,review,low,-0.9144555869241014,0.3144656443077326,0.2260898538494362,0.0883757904582964,,,-0.6614597542363546,0.5005009485358409,0.3245571266049081,0.4073605826629168,0.25,0.2,0.0948616600790513,0,,0,0,7.476190476190476,485(low) AND 561(high),0.00150346302581,0.9829098197193796,-0.3892827760491261,-0.9144555869241014,-0.9144555869241014,-0.6823679369660267,-0.3892827760491261,0.3945354655379786,2.183042134279843,3.1207258906123934,0.0,10,1,0.3144656443077326,1.0,0.825,-0.5549978873487929,0.25,0.2,0.0948616600790513,1.0,low,,,,,,,1.390887910065836,0.4889806982958983,0.7674242636445411,0.1457393975070163,0.6201563672474257,0.5169830746378675,1,1,0,0,C038,1.0,1.0,-0.1019849123932502,-1.8466088185376088,0.5169830746378675,0.5416477023766018,0.0,0.6201563672474257,1.0,1.0,0.991891891891892,1.0,1.0,1.0,1.0,0.9189189189189187,low,low,1,0,0,0,1,1.0,0,0.5882193972259712,1,review_anchor,1463,104,-0.1197333026054762,-0.4654097828973392,,,,,,,0.0,C038,1.0,Tier_B,1
